"code","iso","country","PMD.ind.1995","PMD.ind.1996","PMD.ind.1997","PMD.ind.1998","PMD.ind.1999","PMD.ind.2000","PMD.ind.2001","PMD.ind.2002","PMD.ind.2003","PMD.ind.2004","PMD.ind.2005","PMD.ind.2006","PMD.ind.2007","PMD.ind.2008","PMD.ind.2009","PMD.ind.2010","PMD.ind.2011","PMD.ind.2012","PMD.ind.2013","PMD.ind.2014","PMD.ind.2015","PMD.ind.2016","PMD.ind.2017","PMD.ind.2018","PMD.ind.2019","PMD.ind.2020","PMD.ind.2021","PMD.ind.2022"
4,"AFG","Afghanistan",31.8885366874554,31.9297157960512,31.7788540593665,31.6902134527666,31.620938038298,31.8236073445903,32.275944447396,33.4396227265759,32.9633976212073,32.9579665025911,33.3005700646853,32.8230168364838,31.781767226894,30.3010734404144,28.641265182575,26.9756101316468,24.7233379485839,21.8191173262769,19.0921747281862,17.2302123507356,16.6597758472398,17.2025238368384,17.6430959561109,17.2048798971597,15.9561374631821,15.9561374631821,15.9561374631821,15.9561374631821
8,"ALB","Albania",31.1952639989533,31.1333924846244,31.2538279242309,30.9277875025131,29.9542989946552,29.9712095699016,31.5375651441819,31.0487341907224,29.9054888151426,29.9623169536543,30.5795726281978,31.9950928211047,33.1575882533491,32.65465535247,33.0541777308003,33.5485900603948,33.6201702598285,34.1877775477348,34.657421547039,34.8486961958838,35.0261558323538,35.5060992861792,35.9306578632668,36.3379047016734,36.6638907493529,36.6638907493529,36.6638907493529,36.6638907493529
12,"DZA","Algeria",1.59837926140982,1.50391763540239,1.32133564235825,1.35547215261008,1.1986967268541,1.66985413950522,2.43889150110746,3.25036465648557,4.05505448268138,4.87008319046826,5.72178835272977,6.60304270225711,7.54080384302293,8.4477816327623,9.27341232372417,9.97539747671937,10.2855620146534,10.4797425951523,10.5356496279985,10.4786562792192,10.6119510896313,11.2799574419993,11.8441325035254,12.0246154306792,12.1445180062695,12.1445180062695,12.1445180062695,12.1445180062695
20,"AND","Andorra",61.5641344603684,61.9494411317361,62.2472771988932,62.2835470514907,62.4965675123584,62.7533267616095,63.6106966288871,65.006488062306,66.4537873937987,67.6640362645403,68.8828916192953,69.8372536478087,70.83180220456,71.8840277942733,72.5843719670585,73.4509277115742,74.2392610371541,75.0081786797394,75.7533724078294,76.8037862365169,78.2488296982676,81.1782788861411,83.9602130258925,84.3286064277275,84.4948380331172,84.4948380331172,84.4948380331172,84.4948380331172
24,"AGO","Angola",43.3910231068992,43.1365855541713,42.2122240424827,40.7082003946771,39.4804120592941,38.7886626115501,38.7234493028408,39.0292713426972,39.0091301435612,38.2711888154456,38.4476762220527,37.9760040341438,37.5606488477119,36.7485665824395,35.9508754949017,34.9204180901995,33.6543925271854,31.9127889138394,30.400761129141,29.3995668368944,28.2046737097436,27.5100909278279,26.6086000601081,25.3534103328945,23.9665617294127,23.9665617294127,23.9665617294127,23.9665617294127
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",26.8234326020342,28.4158289776064,29.1187095595428,29.7323257491405,30.3109210717361,31.2094260290394,32.1468204716252,33.4152692303776,34.5921946606924,35.5987416307116,36.3559255052829,36.566331521564,34.7227706139523,34.8779408201048,36.6517796298376,36.7082725657879,36.593484110786,36.4936535582224,36.1559249675056,35.5324561937187,35.5748513827122,36.607260159424,37.5642942835319,37.6128739641227,37.120327798932,37.120327798932,37.120327798932,37.120327798932
32,"ARG","Argentina",34.7205543630877,35.2442517482688,36.2366454947443,37.0599231969109,38.1189980538322,39.9654370966899,40.7954611387107,41.1133794198779,41.8846064639946,43.5736177688716,44.8831857913787,45.3583602659825,44.8380790806965,45.5102330078271,45.5738401413906,45.6894233615995,45.7315723840584,45.7857577120555,45.6888994448283,45.952811356555,45.9188367208894,46.1480326841156,47.3391598305922,47.9393381397792,48.2122069149943,48.2122069149943,48.2122069149943,48.2122069149943
51,"ARM","Armenia",3.53562595512571,3.85736549337392,5.43749154356024,6.29653546324246,6.51319779748358,7.34060245188086,7.14507887324123,7.02760488487156,6.45788335428956,6.32897383029824,5.94803917615748,5.55415161424078,5.98724787158952,5.53147871163534,5.58620812489809,6.10040954190964,6.62365835828875,7.52580712260384,8.68192331551614,9.02599715781095,8.99115787078081,10.1147758677608,11.2404889618132,11.8404457746176,12.3776730644654,12.3776730644654,12.3776730644654,12.3776730644654
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
