"code","iso","country","REC.ind.1995","REC.ind.1996","REC.ind.1997","REC.ind.1998","REC.ind.1999","REC.ind.2000","REC.ind.2001","REC.ind.2002","REC.ind.2003","REC.ind.2004","REC.ind.2005","REC.ind.2006","REC.ind.2007","REC.ind.2008","REC.ind.2009","REC.ind.2010","REC.ind.2011","REC.ind.2012","REC.ind.2013","REC.ind.2014","REC.ind.2015","REC.ind.2016","REC.ind.2017","REC.ind.2018","REC.ind.2019","REC.ind.2020","REC.ind.2021","REC.ind.2022"
4,"AFG","Afghanistan",6.17999999999999,6.114,6.048,5.982,5.916,5.84999999999999,6.23399999999999,6.61799999999999,7.002,7.38600000000001,7.77,8.17,8.56999999999999,8.97,9.37,9.77,9.94800000000001,10.126,10.304,10.482,10.66,10.75,10.84,10.93,11.02,11.11,11.11,11.11
8,"ALB","Albania",14.95,15.234,15.518,15.802,16.086,16.37,16.668,16.966,17.264,17.562,17.86,18.104,18.348,18.592,18.836,19.08,19.244,19.408,19.572,19.736,19.9,20.016,20.132,20.248,20.364,20.48,20.48,20.48
12,"DZA","Algeria",9.8,9.834,9.86799999999999,9.902,9.93600000000001,9.97,10.044,10.118,10.192,10.266,10.34,10.364,10.388,10.412,10.436,10.46,10.514,10.568,10.622,10.676,10.73,10.792,10.854,10.916,10.978,11.04,11.04,11.04
20,"AND","Andorra",13.49,13.614,13.738,13.862,13.986,14.11,14.216,14.322,14.428,14.534,14.64,14.692,14.744,14.796,14.848,14.9,14.952,15.004,15.056,15.108,15.16,15.152,15.144,15.136,15.128,15.12,15.12,15.12
24,"AGO","Angola",12.97,13.134,13.298,13.462,13.626,13.79,14.138,14.486,14.834,15.182,15.53,15.968,16.406,16.844,17.282,17.72,17.854,17.988,18.122,18.256,18.39,18.51,18.63,18.75,18.87,18.99,18.99,18.99
660,"AIA","Anguilla",21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.988,22.376,22.764,23.152,23.54,23.54,23.54,23.54,23.54,23.54,23.54,23.54
28,"ATG","Antigua and Barbuda",15.14,15.152,15.164,15.176,15.188,15.2,15.21,15.22,15.23,15.24,15.25,15.25,15.25,15.25,15.25,15.25,15.264,15.278,15.292,15.306,15.32,15.318,15.316,15.314,15.312,15.31,15.31,15.31
32,"ARG","Argentina",8.61,8.63199999999999,8.654,8.67599999999999,8.69799999999999,8.72,8.74000000000001,8.76000000000001,8.78,8.8,8.81999999999999,8.89400000000001,8.968,9.042,9.116,9.19,9.22199999999999,9.25399999999999,9.286,9.318,9.35000000000001,9.398,9.446,9.494,9.542,9.59,9.59,9.59
51,"ARM","Armenia",6.56999999999999,6.824,7.07799999999999,7.33200000000001,7.586,7.84,8.378,8.916,9.45399999999999,9.992,10.53,10.728,10.926,11.124,11.322,11.52,11.72,11.92,12.12,12.32,12.52,12.716,12.912,13.108,13.304,13.5,13.5,13.5
533,"ABW","Aruba",25.32,25.358,25.396,25.434,25.472,25.51,25.488,25.466,25.444,25.422,25.4,25.288,25.176,25.064,24.952,24.84,24.966,25.092,25.218,25.344,25.47,25.366,25.262,25.158,25.054,24.95,24.95,24.95
36,"AUS","Australia",51.01,51.13,51.25,51.37,51.49,51.61,51.694,51.778,51.862,51.946,52.03,52.082,52.134,52.186,52.238,52.29,52.358,52.426,52.494,52.562,52.63,52.678,52.726,52.774,52.822,52.87,52.87,52.87
40,"AUT","Austria",35.52,35.56,35.6,35.64,35.68,35.72,35.734,35.748,35.762,35.776,35.79,35.802,35.814,35.826,35.838,35.85,35.868,35.886,35.904,35.922,35.94,35.952,35.964,35.976,35.988,36,36,36
31,"AZE","Azerbaijan",6.17999999999999,6.386,6.592,6.798,7.004,7.21000000000001,7.666,8.122,8.578,9.03399999999999,9.48999999999999,10.206,10.922,11.638,12.354,13.07,13.278,13.486,13.694,13.902,14.11,14.166,14.222,14.278,14.334,14.39,14.39,14.39
44,"BHS","Bahamas",23.82,23.926,24.032,24.138,24.244,24.35,24.38,24.41,24.44,24.47,24.5,24.49,24.48,24.47,24.46,24.45,24.486,24.522,24.558,24.594,24.63,24.674,24.718,24.762,24.806,24.85,24.85,24.85
48,"BHR","Bahrain",13.42,13.45,13.48,13.51,13.54,13.57,13.628,13.686,13.744,13.802,13.86,13.848,13.836,13.824,13.812,13.8,13.848,13.896,13.944,13.992,14.04,14.046,14.052,14.058,14.064,14.07,14.07,14.07
50,"BGD","Bangladesh",10.09,10.228,10.366,10.504,10.642,10.78,10.962,11.144,11.326,11.508,11.69,11.908,12.126,12.344,12.562,12.78,13.034,13.288,13.542,13.796,14.05,14.384,14.718,15.052,15.386,15.72,15.72,15.72
52,"BRB","Barbados",10.16,10.192,10.224,10.256,10.288,10.32,10.33,10.34,10.35,10.36,10.37,10.368,10.366,10.364,10.362,10.36,10.388,10.416,10.444,10.472,10.5,10.51,10.52,10.53,10.54,10.55,10.55,10.55
112,"BLR","Belarus",15.62,15.806,15.992,16.178,16.364,16.55,16.738,16.926,17.114,17.302,17.49,17.646,17.802,17.958,18.114,18.27,18.354,18.438,18.522,18.606,18.69,18.762,18.834,18.906,18.978,19.05,19.05,19.05
56,"BEL","Belgium",31.59,31.606,31.622,31.638,31.654,31.67,31.674,31.678,31.682,31.686,31.69,31.692,31.694,31.696,31.698,31.7,31.706,31.712,31.718,31.724,31.73,31.732,31.734,31.736,31.738,31.74,31.74,31.74
