long,lat,deg
-170.0,-20.0,0.0001444697
-167.0,65.0,0.0001639953
-166.0,68.0,5.06357e-05
-166.0,65.0,0.0001639953
-166.0,64.0,0.0001702865
-166.0,61.0,0.0001887129
-165.0,68.0,5.06357e-05
-165.0,66.0,5.50911e-05
-165.0,65.0,0.0001639953
-165.0,64.0,0.0001702865
-165.0,62.0,0.0001826036
-165.0,61.0,0.0001887129
-165.0,60.0,0.0001947615
-164.0,68.0,5.06357e-05
-164.0,67.0,5.28717e-05
-164.0,65.0,0.0001639953
-164.0,62.0,0.0001826036
-164.0,61.0,0.0001887129
-164.0,60.0,0.0001947615
-163.0,69.0,4.83845e-05
-163.0,68.0,5.06357e-05
-163.0,67.0,5.28717e-05
-163.0,65.0,0.0001639953
-163.0,61.0,0.0001887129
-163.0,60.0,0.0001947615
-163.0,55.0,0.0005155893
-162.0,69.0,4.83845e-05
-162.0,68.0,5.06357e-05
-162.0,65.0,0.0001639953
-162.0,60.0,0.0001947615
-162.0,59.0,0.0001306217
-162.0,55.0,0.0001457585
-161.0,69.0,4.83845e-05
-161.0,68.0,5.06357e-05
-161.0,67.0,5.28717e-05
-161.0,66.0,5.50911e-05
-161.0,63.0,0.0001764792
-161.0,60.0,0.0001947615
-161.0,59.0,0.0001306217
-161.0,55.0,0.0001457585
-160.0,70.0,4.61189e-05
-160.0,69.0,4.83845e-05
-160.0,68.0,5.06357e-05
-160.0,66.0,5.50911e-05
-160.0,60.0,0.0001947615
-160.0,59.0,0.0001306217
-160.0,56.0,0.0001420368
-159.0,70.0,4.61189e-05
-159.0,69.0,4.83845e-05
-159.0,68.0,5.06357e-05
-159.0,66.0,5.50911e-05
-159.0,60.0,0.0001947615
-159.0,59.0,0.0001306217
-159.0,56.0,0.000218289
-159.0,-20.0,0.0019163403
-158.0,70.0,4.61189e-05
-158.0,69.0,4.83845e-05
-158.0,68.0,5.06357e-05
-158.0,67.0,5.28717e-05
-158.0,59.0,0.0001306217
-158.0,57.0,0.0005789181
-158.0,21.0,0.0397405957
-157.0,70.0,4.61189e-05
-157.0,69.0,4.83845e-05
-157.0,68.0,5.06357e-05
-157.0,67.0,5.28717e-05
-157.0,59.0,0.0001306217
-157.0,58.0,0.0002066541
-157.0,57.0,0.0001382773
-156.0,70.0,4.61189e-05
-156.0,69.0,4.83845e-05
