long,lat,deg
-170.0,-20.0,0.0001955854
-167.0,65.0,0.0006177487
-166.0,68.0,0.000190738
-166.0,65.0,0.0006177487
-166.0,64.0,0.0006414468
-166.0,61.0,0.0007108564
-165.0,68.0,0.000190738
-165.0,66.0,0.0002075208
-165.0,65.0,0.0006177487
-165.0,64.0,0.0006414468
-165.0,62.0,0.0006878436
-165.0,61.0,0.0007108564
-165.0,60.0,0.0007336409
-164.0,68.0,0.000190738
-164.0,67.0,0.0001991609
-164.0,65.0,0.0006177487
-164.0,62.0,0.0006878436
-164.0,61.0,0.0007108564
-164.0,60.0,0.0007336409
-163.0,69.0,0.0001822581
-163.0,68.0,0.000190738
-163.0,67.0,0.0001991609
-163.0,65.0,0.0006177487
-163.0,61.0,0.0007108564
-163.0,60.0,0.0007336409
-163.0,55.0,0.0019421568
-162.0,69.0,0.0001822581
-162.0,68.0,0.000190738
-162.0,65.0,0.0006177487
-162.0,60.0,0.0007336409
-162.0,59.0,0.0004920347
-162.0,55.0,0.0005490529
-161.0,69.0,0.0001822581
-161.0,68.0,0.000190738
-161.0,67.0,0.0001991609
-161.0,66.0,0.0002075208
-161.0,63.0,0.0006647737
-161.0,60.0,0.0007336409
-161.0,59.0,0.0004920347
-161.0,55.0,0.0005490529
-160.0,70.0,0.000173724
-160.0,69.0,0.0001822581
-160.0,68.0,0.000190738
-160.0,66.0,0.0002075208
-160.0,60.0,0.0007336409
-160.0,59.0,0.0004920347
-160.0,56.0,0.0005350339
-159.0,70.0,0.000173724
-159.0,69.0,0.0001822581
-159.0,68.0,0.000190738
-159.0,66.0,0.0002075208
-159.0,60.0,0.0007336409
-159.0,59.0,0.0004920347
-159.0,56.0,0.0008222659
-159.0,-20.0,0.0027470329
-158.0,70.0,0.000173724
-158.0,69.0,0.0001822581
-158.0,68.0,0.000190738
-158.0,67.0,0.0001991609
-158.0,59.0,0.0004920347
-158.0,57.0,0.0021807079
-158.0,21.0,0.1496975726
-157.0,70.0,0.000173724
-157.0,69.0,0.0001822581
-157.0,68.0,0.000190738
-157.0,67.0,0.0001991609
-157.0,59.0,0.0004920347
-157.0,58.0,0.0007784388
-157.0,57.0,0.0005208722
-156.0,70.0,0.000173724
-156.0,69.0,0.0001822581
-156.0,68.0,0.000190738
-156.0,67.0,0.0001991609
-156.0,58.0,0.0007784388
-156.0,19.0,0.0553335678
-155.0,70.0,0.000173724
-155.0,69.0,0.0001822581
-155.0,68.0,0.000190738
-155.0,67.0,0.0001991609
-155.0,60.0,0.0004773591
-155.0,59.0,0.0007561683
-155.0,58.0,0.0005065106
-154.0,70.0,0.000173724
-154.0,69.0,0.0001822581
-154.0,68.0,0.000190738
-154.0,67.0,0.0001991609
-154.0,60.0,0.0004773591
-154.0,57.0,0.0008004809
-153.0,70.0,0.000173724
-153.0,69.0,0.0001822581
-153.0,68.0,0.000190738
-153.0,60.0,0.0004773591
-152.0,70.0,0.000173724
-152.0,69.0,0.0001822581
-152.0,68.0,0.000190738
-152.0,62.0,0.0022277329
-152.0,61.0,0.0112168965
-152.0,59.0,0.0004920347
-151.0,70.0,0.1586086183
-151.0,69.0,0.0001822581
-151.0,68.0,0.000190738
-151.0,61.0,0.004420404
-151.0,60.0,0.0004773591
-151.0,59.0,0.0004920347
-150.0,70.0,0.000173724
-150.0,69.0,0.000257835
-150.0,68.0,0.000190738
-150.0,61.0,0.0563157528
-150.0,60.0,0.0004773591
-149.0,70.0,0.7100570158
-149.0,69.0,0.0001822581
-149.0,60.0,0.0004773591
-148.0,69.0,0.0001822581
-147.0,69.0,0.0001822581
-146.0,69.0,0.0001822581
-146.0,60.0,0.0004773591
-145.0,69.0,0.0001822581
-145.0,64.0,0.0086452275
-145.0,60.0,0.0004773591
-144.0,69.0,0.0001822581
-144.0,60.0,0.0004773591
-143.0,69.0,0.0001822581
-143.0,62.0,0.0006878436
-143.0,60.0,0.0004773591
-142.0,69.0,0.0001822581
-142.0,60.0,0.0004773591
-141.0,69.0,0.0015664425
-141.0,68.0,0.0016393069
-141.0,60.0,0.0004773591
-140.0,69.0,0.0015664425
-140.0,68.0,0.0016393069
-140.0,67.0,0.0017116859
-140.0,63.0,0.0001594166
-140.0,62.0,0.00016497
-140.0,61.0,0.0001704833
-140.0,60.0,0.0004773591
-139.0,68.0,0.0016393069
-139.0,67.0,0.0017116859
-139.0,63.0,0.0001594166
-139.0,61.0,0.0001704833
-139.0,59.0,0.0004920347
-138.0,68.0,0.0016393069
-138.0,67.0,0.0017116859
-138.0,63.0,0.0001594166
-138.0,61.0,0.0001704833
-138.0,60.0,0.0001758797
-137.0,68.0,0.0016393069
-137.0,67.0,0.0017116859
-137.0,63.0,0.0001594166
-137.0,62.0,0.00016497
-137.0,60.0,0.0001758797
-137.0,58.0,0.0005065106
-136.0,68.0,0.005107648
-136.0,67.0,0.0017170822
-136.0,63.0,0.0001594166
-136.0,61.0,0.0001704833
-136.0,60.0,0.0001758797
-136.0,58.0,0.0013736601
-136.0,57.0,0.0005208722
-135.0,69.0,0.0015713534
-135.0,68.0,0.0016444748
-135.0,67.0,0.0017170822
-135.0,62.0,0.00016497
-135.0,60.0,0.0001758797
-135.0,58.0,0.0005065106
-135.0,57.0,0.0005208722
-134.0,69.0,0.0015713534
-134.0,68.0,0.0016444748
-134.0,62.0,0.00016497
-134.0,60.0,0.0001758797
-133.0,69.0,0.0015713534
-133.0,68.0,0.0016444748
-133.0,66.0,0.0017891758
-133.0,61.0,0.0001704833
-133.0,56.0,0.0005350339
-132.0,69.0,0.0015713534
-132.0,62.0,0.00016497
-132.0,61.0,0.0001704833
-132.0,59.0,0.0012323853
-131.0,69.0,0.0015713534
-131.0,68.0,0.0016444748
-131.0,61.0,0.0001704833
-131.0,58.0,0.0012685891
-131.0,55.0,0.0013611544
-130.0,69.0,0.0015713534
-130.0,68.0,0.0016444748
-130.0,61.0,0.0001704833
-129.0,68.0,0.0016444748
-129.0,56.0,0.0013401116
-129.0,55.0,0.0013752305
-129.0,54.0,0.0012389805
-128.0,59.0,0.0012323853
-128.0,55.0,0.0013752305
-128.0,54.0,0.0014100066
-128.0,50.0,0.0015444575
-127.0,65.0,1.64376e-05
-127.0,59.0,0.0012323853
-127.0,56.0,0.0013401116
-127.0,55.0,0.0013752305
-127.0,54.0,0.0014100066
-127.0,53.0,0.0014442975
-127.0,50.0,0.0028159589
-126.0,58.0,0.0012685891
-126.0,57.0,0.0013045931
-126.0,56.0,0.0013401116
-126.0,55.0,0.0013752305
-126.0,54.0,0.0014100066
-126.0,53.0,0.0014442975
-126.0,52.0,0.0014780173
-126.0,50.0,0.0028159589
-126.0,49.0,0.0015769496
-125.0,56.0,0.0013401116
-125.0,55.0,0.0013752305
-125.0,54.0,0.0014100066
-125.0,53.0,0.0014442975
-125.0,52.0,0.0014780173
-125.0,51.0,0.0015113944
-125.0,49.0,0.0015769496
-125.0,48.0,0.0016089277
-125.0,42.0,0.007007491
-124.0,58.0,0.0012685891
-124.0,55.0,0.0013752305
-124.0,54.0,0.0014100066
-124.0,53.0,0.0014442975
-124.0,52.0,0.0127207247
-124.0,51.0,0.0120417607
-124.0,49.0,0.2394276053
-124.0,48.0,0.0526611106
-124.0,47.0,0.009957758
-124.0,46.0,0.0406950124
-124.0,45.0,0.0070928611
-124.0,44.0,0.1115436786
-124.0,43.0,0.0069206932
-124.0,42.0,0.0059873319
-124.0,41.0,0.0081786896
-124.0,40.0,0.0324092532
-124.0,39.0,0.0292142964
-123.0,61.0,0.0010937659
-123.0,59.0,0.0012323853
-123.0,58.0,0.0012685891
-123.0,57.0,0.0343764786
-123.0,56.0,0.0013401116
-123.0,55.0,0.0013752305
-123.0,54.0,0.0014100066
-123.0,53.0,0.0410319248
-123.0,52.0,0.0137011967
-123.0,51.0,0.0145974406
-123.0,50.0,0.0015444575
-123.0,49.0,0.0651354324
-123.0,48.0,0.0045862905
-123.0,47.0,0.4574013186
-123.0,46.0,0.0118775873
-123.0,45.0,0.2137394676
-123.0,44.0,0.0068338955
-123.0,43.0,0.0056378567
-123.0,42.0,0.017123141
-123.0,41.0,0.0299023971
-123.0,40.0,0.0303592273
-123.0,39.0,0.0706116855
-123.0,38.0,0.1821582193
-123.0,37.0,0.6373638973
-122.0,61.0,0.0010937659
-122.0,57.0,0.0013045931
-122.0,56.0,0.0013401116
-122.0,55.0,0.0013752305
-122.0,54.0,0.0014100066
-122.0,53.0,0.0014442975
-122.0,52.0,0.0014780173
-122.0,51.0,0.0129888269
-122.0,50.0,0.0145643204
-122.0,49.0,0.0015769496
-122.0,48.0,0.0118313332
-122.0,47.0,0.009957758
-122.0,46.0,0.0274103879
-122.0,45.0,0.0160764286
-122.0,44.0,0.0048044269
-122.0,43.0,0.0148387041
-122.0,42.0,0.0150833938
-122.0,41.0,0.0299023971
-122.0,40.0,0.0303592273
-122.0,39.0,0.0281855718
-122.0,38.0,0.1997261987
-122.0,37.0,0.3583548034
-122.0,36.0,0.0961713397
-121.0,61.0,0.0010937659
-121.0,56.0,8.17155e-05
-121.0,55.0,0.0013752305
-121.0,54.0,0.0014100066
