long,lat,deg
-170.0,-20.0,0.0001611055
-167.0,65.0,0.0002361628
-166.0,68.0,7.29184e-05
-166.0,65.0,0.0002361628
-166.0,64.0,0.0002452225
-166.0,61.0,0.0002717575
-165.0,68.0,7.29184e-05
-165.0,66.0,7.93344e-05
-165.0,65.0,0.0002361628
-165.0,64.0,0.0002452225
-165.0,62.0,0.0002629598
-165.0,61.0,0.0002717575
-165.0,60.0,0.0002804679
-164.0,68.0,7.29184e-05
-164.0,67.0,7.61384e-05
-164.0,65.0,0.0002361628
-164.0,62.0,0.0002629598
-164.0,61.0,0.0002717575
-164.0,60.0,0.0002804679
-163.0,69.0,6.96765e-05
-163.0,68.0,7.29184e-05
-163.0,67.0,7.61384e-05
-163.0,65.0,0.0002361628
-163.0,61.0,0.0002717575
-163.0,60.0,0.0002804679
-163.0,55.0,0.0007424785
-162.0,69.0,6.96765e-05
-162.0,68.0,7.29184e-05
-162.0,65.0,0.0002361628
-162.0,60.0,0.0002804679
-162.0,59.0,0.0001881029
-162.0,55.0,0.0002099007
-161.0,69.0,6.96765e-05
-161.0,68.0,7.29184e-05
-161.0,67.0,7.61384e-05
-161.0,66.0,7.93344e-05
-161.0,63.0,0.0002541402
-161.0,60.0,0.0002804679
-161.0,59.0,0.0001881029
-161.0,55.0,0.0002099007
-160.0,70.0,6.6414e-05
-160.0,69.0,6.96765e-05
-160.0,68.0,7.29184e-05
-160.0,66.0,7.93344e-05
-160.0,60.0,0.0002804679
-160.0,59.0,0.0001881029
-160.0,56.0,0.0002045413
-159.0,70.0,6.6414e-05
-159.0,69.0,6.96765e-05
-159.0,68.0,7.29184e-05
-159.0,66.0,7.93344e-05
-159.0,60.0,0.0002804679
-159.0,59.0,0.0001881029
-159.0,56.0,0.0003143489
-159.0,-20.0,0.0031217951
-158.0,70.0,6.6414e-05
-158.0,69.0,6.96765e-05
-158.0,68.0,7.29184e-05
-158.0,67.0,7.61384e-05
-158.0,59.0,0.0001881029
-158.0,57.0,0.0008336756
-158.0,21.0,0.0572287646
-157.0,70.0,6.6414e-05
-157.0,69.0,6.96765e-05
-157.0,68.0,7.29184e-05
-157.0,67.0,7.61384e-05
-157.0,59.0,0.0001881029
-157.0,58.0,0.0002975939
-157.0,57.0,0.0001991273
-156.0,70.0,6.6414e-05
-156.0,69.0,6.96765e-05
-156.0,68.0,7.29184e-05
-156.0,67.0,7.61384e-05
-156.0,58.0,0.0002975939
-156.0,19.0,0.0211537947
-155.0,70.0,6.6414e-05
-155.0,69.0,6.96765e-05
-155.0,68.0,7.29184e-05
-155.0,67.0,7.61384e-05
-155.0,60.0,0.0001824924
-155.0,59.0,0.00028908
-155.0,58.0,0.0001936369
-154.0,70.0,6.6414e-05
-154.0,69.0,6.96765e-05
-154.0,68.0,7.29184e-05
-154.0,67.0,7.61384e-05
-154.0,60.0,0.0001824924
-154.0,57.0,0.0003060205
-153.0,70.0,6.6414e-05
-153.0,69.0,6.96765e-05
-153.0,68.0,7.29184e-05
-153.0,60.0,0.0001824924
-152.0,70.0,6.6414e-05
-152.0,69.0,6.96765e-05
-152.0,68.0,7.29184e-05
-152.0,62.0,0.0008516531
-152.0,61.0,0.0042881733
-152.0,59.0,0.0001881029
-151.0,70.0,0.0606354206
-151.0,69.0,6.96765e-05
-151.0,68.0,7.29184e-05
-151.0,61.0,0.0016899022
-151.0,60.0,0.0001824924
-151.0,59.0,0.0001881029
-150.0,70.0,6.6414e-05
-150.0,69.0,9.85693e-05
-150.0,68.0,7.29184e-05
-150.0,61.0,0.02152928
-150.0,60.0,0.0001824924
-149.0,70.0,0.2714518685
-149.0,69.0,6.96765e-05
-149.0,60.0,0.0001824924
-148.0,69.0,6.96765e-05
-147.0,69.0,6.96765e-05
-146.0,69.0,6.96765e-05
-146.0,60.0,0.0001824924
-145.0,69.0,6.96765e-05
-145.0,64.0,0.0033050348
-145.0,60.0,0.0001824924
-144.0,69.0,6.96765e-05
-144.0,60.0,0.0001824924
-143.0,69.0,6.96765e-05
-143.0,62.0,0.0002629598
-143.0,60.0,0.0001824924
-142.0,69.0,6.96765e-05
-142.0,60.0,0.0001824924
-141.0,69.0,0.0005988445
-141.0,68.0,0.0006267003
-141.0,60.0,0.0001824924
-140.0,69.0,0.0005988445
-140.0,68.0,0.0006267003
-140.0,67.0,0.0006543705
-140.0,63.0,6.09443e-05
-140.0,62.0,6.30673e-05
-140.0,61.0,6.51751e-05
-140.0,60.0,0.0001824924
-139.0,68.0,0.0006267003
-139.0,67.0,0.0006543705
-139.0,63.0,6.09443e-05
-139.0,61.0,6.51751e-05
-139.0,59.0,0.0001881029
-138.0,68.0,0.0006267003
-138.0,67.0,0.0006543705
-138.0,63.0,6.09443e-05
-138.0,61.0,6.51751e-05
-138.0,60.0,6.72381e-05
-137.0,68.0,0.0006267003
-137.0,67.0,0.0006543705
-137.0,63.0,6.09443e-05
-137.0,62.0,6.30673e-05
-137.0,60.0,6.72381e-05
-137.0,58.0,0.0001936369
-136.0,68.0,0.0019526328
-136.0,67.0,0.0006564335
-136.0,63.0,6.09443e-05
-136.0,61.0,6.51751e-05
-136.0,60.0,6.72381e-05
-136.0,58.0,0.0005251446
-136.0,57.0,0.0001991273
-135.0,69.0,0.0006007219
-135.0,68.0,0.0006286759
-135.0,67.0,0.0006564335
-135.0,62.0,6.30673e-05
-135.0,60.0,6.72381e-05
-135.0,58.0,0.0001936369
-135.0,57.0,0.0001991273
-134.0,69.0,0.0006007219
-134.0,68.0,0.0006286759
-134.0,62.0,6.30673e-05
-134.0,60.0,6.72381e-05
-133.0,69.0,0.0006007219
-133.0,68.0,0.0006286759
-133.0,66.0,0.0006839945
-133.0,61.0,6.51751e-05
-133.0,56.0,0.0002045413
-132.0,69.0,0.0006007219
-132.0,62.0,6.30673e-05
-132.0,61.0,6.51751e-05
-132.0,59.0,0.0004711358
-131.0,69.0,0.0006007219
-131.0,68.0,0.0006286759
-131.0,61.0,6.51751e-05
-131.0,58.0,0.0004849764
-131.0,55.0,0.0005203637
-130.0,69.0,0.0006007219
-130.0,68.0,0.0006286759
-130.0,61.0,6.51751e-05
-129.0,68.0,0.0006286759
-129.0,56.0,0.0005123191
-129.0,55.0,0.0005257449
-129.0,54.0,0.0004736571
-128.0,59.0,0.0004711358
-128.0,55.0,0.0005257449
-128.0,54.0,0.0005390397
-128.0,50.0,0.0005904397
-127.0,65.0,6.284e-06
-127.0,59.0,0.0004711358
-127.0,56.0,0.0005123191
-127.0,55.0,0.0005257449
-127.0,54.0,0.0005390397
-127.0,53.0,0.000552149
-127.0,50.0,0.0010765295
-126.0,58.0,0.0004849764
-126.0,57.0,0.0004987406
-126.0,56.0,0.0005123191
-126.0,55.0,0.0005257449
-126.0,54.0,0.0005390397
-126.0,53.0,0.000552149
-126.0,52.0,0.0005650399
-126.0,50.0,0.0010765295
-126.0,49.0,0.0006028613
-125.0,56.0,0.0005123191
-125.0,55.0,0.0005257449
-125.0,54.0,0.0005390397
-125.0,53.0,0.000552149
-125.0,52.0,0.0005650399
-125.0,51.0,0.0005777998
-125.0,49.0,0.0006028613
-125.0,48.0,0.0006150864
-125.0,42.0,0.0026789349
-124.0,58.0,0.0004849764
-124.0,55.0,0.0005257449
-124.0,54.0,0.0005390397
-124.0,53.0,0.000552149
-124.0,52.0,0.0048630806
-124.0,51.0,0.0046035154
-124.0,49.0,0.091532186
-124.0,48.0,0.0201321254
-124.0,47.0,0.0038068098
-124.0,46.0,0.0155575354
-124.0,45.0,0.0027115716
