long,lat,deg
-170.0,-20.0,0.000296398
-167.0,65.0,0.0004787185
-166.0,68.0,0.0001478106
-166.0,65.0,0.0004787185
-166.0,64.0,0.0004970831
-166.0,61.0,0.0005508714
-165.0,68.0,0.0001478106
-165.0,66.0,0.0001608163
-165.0,65.0,0.0004787185
-165.0,64.0,0.0004970831
-165.0,62.0,0.0005330378
-165.0,61.0,0.0005508714
-165.0,60.0,0.000568528
-164.0,68.0,0.0001478106
-164.0,67.0,0.0001543378
-164.0,65.0,0.0004787185
-164.0,62.0,0.0005330378
-164.0,61.0,0.0005508714
-164.0,60.0,0.000568528
-163.0,69.0,0.0001412392
-163.0,68.0,0.0001478106
-163.0,67.0,0.0001543378
-163.0,65.0,0.0004787185
-163.0,61.0,0.0005508714
-163.0,60.0,0.000568528
-163.0,55.0,0.0015050559
-162.0,69.0,0.0001412392
-162.0,68.0,0.0001478106
-162.0,65.0,0.0004787185
-162.0,60.0,0.000568528
-162.0,59.0,0.0003812976
-162.0,55.0,0.0004254833
-161.0,69.0,0.0001412392
-161.0,68.0,0.0001478106
-161.0,67.0,0.0001543378
-161.0,66.0,0.0001608163
-161.0,63.0,0.00051516
-161.0,60.0,0.000568528
-161.0,59.0,0.0003812976
-161.0,55.0,0.0004254833
-160.0,70.0,0.0001346257
-160.0,69.0,0.0001412392
-160.0,68.0,0.0001478106
-160.0,66.0,0.0001608163
-160.0,60.0,0.000568528
-160.0,59.0,0.0003812976
-160.0,56.0,0.0004146194
-159.0,70.0,0.0001346257
-159.0,69.0,0.0001412392
-159.0,68.0,0.0001478106
-159.0,66.0,0.0001608163
-159.0,60.0,0.000568528
-159.0,59.0,0.0003812976
-159.0,56.0,0.0006372071
-159.0,-20.0,0.0037605766
-158.0,70.0,0.0001346257
-158.0,69.0,0.0001412392
-158.0,68.0,0.0001478106
-158.0,67.0,0.0001543378
-158.0,59.0,0.0003812976
-158.0,57.0,0.0016899187
-158.0,21.0,0.1160067028
-157.0,70.0,0.0001346257
-157.0,69.0,0.0001412392
-157.0,68.0,0.0001478106
-157.0,67.0,0.0001543378
-157.0,59.0,0.0003812976
-157.0,58.0,0.0006032437
-157.0,57.0,0.0004036449
-156.0,70.0,0.0001346257
-156.0,69.0,0.0001412392
-156.0,68.0,0.0001478106
-156.0,67.0,0.0001543378
-156.0,58.0,0.0006032437
-156.0,19.0,0.0428802194
-155.0,70.0,0.0001346257
-155.0,69.0,0.0001412392
-155.0,68.0,0.0001478106
-155.0,67.0,0.0001543378
-155.0,60.0,0.0003699248
-155.0,59.0,0.0005859854
-155.0,58.0,0.0003925155
-154.0,70.0,0.0001346257
-154.0,69.0,0.0001412392
-154.0,68.0,0.0001478106
-154.0,67.0,0.0001543378
-154.0,60.0,0.0003699248
-154.0,57.0,0.000620325
-153.0,70.0,0.0001346257
-153.0,69.0,0.0001412392
-153.0,68.0,0.0001478106
-153.0,60.0,0.0003699248
-152.0,70.0,0.0001346257
-152.0,69.0,0.0001412392
-152.0,68.0,0.0001478106
-152.0,62.0,0.0017263603
-152.0,61.0,0.0086924267
-152.0,59.0,0.0003812976
-151.0,70.0,0.1229122325
-151.0,69.0,0.0001412392
-151.0,68.0,0.0001478106
-151.0,61.0,0.0034255498
-151.0,60.0,0.0003699248
-151.0,59.0,0.0003812976
-150.0,70.0,0.0001346257
-150.0,69.0,0.0001998068
-150.0,68.0,0.0001478106
-150.0,61.0,0.0436413543
-150.0,60.0,0.0003699248
-149.0,70.0,0.5502518965
-149.0,69.0,0.0001412392
-149.0,60.0,0.0003699248
-148.0,69.0,0.0001412392
-147.0,69.0,0.0001412392
-146.0,69.0,0.0001412392
-146.0,60.0,0.0003699248
-145.0,69.0,0.0001412392
-145.0,64.0,0.0066995364
-145.0,60.0,0.0003699248
-144.0,69.0,0.0001412392
-144.0,60.0,0.0003699248
-143.0,69.0,0.0001412392
-143.0,62.0,0.0005330378
-143.0,60.0,0.0003699248
-142.0,69.0,0.0001412392
-142.0,60.0,0.0003699248
-141.0,69.0,0.0012138996
-141.0,68.0,0.0012703652
-141.0,60.0,0.0003699248
-140.0,69.0,0.0012138996
-140.0,68.0,0.0012703652
-140.0,67.0,0.0013264547
-140.0,63.0,0.0001235384
-140.0,62.0,0.0001278419
-140.0,61.0,0.0001321144
-140.0,60.0,0.0003699248
-139.0,68.0,0.0012703652
-139.0,67.0,0.0013264547
-139.0,63.0,0.0001235384
-139.0,61.0,0.0001321144
-139.0,59.0,0.0003812976
-138.0,68.0,0.0012703652
-138.0,67.0,0.0013264547
-138.0,63.0,0.0001235384
-138.0,61.0,0.0001321144
-138.0,60.0,0.0001362963
-137.0,68.0,0.0012703652
-137.0,67.0,0.0013264547
-137.0,63.0,0.0001235384
-137.0,62.0,0.0001278419
-137.0,60.0,0.0001362963
-137.0,58.0,0.0003925155
-136.0,68.0,0.003958123
-136.0,67.0,0.0013306365
-136.0,63.0,0.0001235384
-136.0,61.0,0.0001321144
-136.0,60.0,0.0001362963
-136.0,58.0,0.0010645048
-136.0,57.0,0.0004036449
-135.0,69.0,0.0012177053
-135.0,68.0,0.00127437
-135.0,67.0,0.0013306365
-135.0,62.0,0.0001278419
-135.0,60.0,0.0001362963
-135.0,58.0,0.0003925155
-135.0,57.0,0.0004036449
-134.0,69.0,0.0012177053
-134.0,68.0,0.00127437
-134.0,62.0,0.0001278419
-134.0,60.0,0.0001362963
-133.0,69.0,0.0012177053
-133.0,68.0,0.00127437
-133.0,66.0,0.0013865047
-133.0,61.0,0.0001321144
-133.0,56.0,0.0004146194
-132.0,69.0,0.0012177053
-132.0,62.0,0.0001278419
-132.0,61.0,0.0001321144
-132.0,59.0,0.0009550252
-131.0,69.0,0.0012177053
-131.0,68.0,0.00127437
-131.0,61.0,0.0001321144
-131.0,58.0,0.000983081
-131.0,55.0,0.0010548136
-130.0,69.0,0.0012177053
-130.0,68.0,0.00127437
-130.0,61.0,0.0001321144
-129.0,68.0,0.00127437
-129.0,56.0,0.0010385067
-129.0,55.0,0.0010657217
-129.0,54.0,0.0009601361
-128.0,59.0,0.0009550252
-128.0,55.0,0.0010657217
-128.0,54.0,0.0010926712
-128.0,50.0,0.0011968626
-127.0,65.0,1.27381e-05
-127.0,59.0,0.0009550252
-127.0,56.0,0.0010385067
-127.0,55.0,0.0010657217
-127.0,54.0,0.0010926712
-127.0,53.0,0.0011192445
-127.0,50.0,0.0021822005
-126.0,58.0,0.000983081
-126.0,57.0,0.0010109819
-126.0,56.0,0.0010385067
-126.0,55.0,0.0010657217
-126.0,54.0,0.0010926712
-126.0,53.0,0.0011192445
-126.0,52.0,0.0011453753
-126.0,50.0,0.0021822005
-126.0,49.0,0.001222042
-125.0,56.0,0.0010385067
-125.0,55.0,0.0010657217
-125.0,54.0,0.0010926712
-125.0,53.0,0.0011192445
-125.0,52.0,0.0011453753
-125.0,51.0,0.0011712406
-125.0,49.0,0.001222042
-125.0,48.0,0.0012468231
-125.0,42.0,0.0054303881
-124.0,58.0,0.000983081
-124.0,55.0,0.0010657217
-124.0,54.0,0.0010926712
-124.0,53.0,0.0011192445
-124.0,52.0,0.009857804
-124.0,51.0,0.0093316473
-124.0,49.0,0.1855421339
-124.0,48.0,0.0408092242
-124.0,47.0,0.0077166694
-124.0,46.0,0.0315362109
-124.0,45.0,0.0054965449
-124.0,44.0,0.0864397074
-124.0,43.0,0.0053631251
-124.0,42.0,0.0046398256
-124.0,41.0,0.0063379973
-124.0,40.0,0.025115241
-124.0,39.0,0.0226393398
-123.0,61.0,0.0008476034
-123.0,59.0,0.0009550252
-123.0,58.0,0.000983081
-123.0,57.0,0.0266397235
-123.0,56.0,0.0010385067
-123.0,55.0,0.0010657217
-123.0,54.0,0.0010926712
-123.0,53.0,0.0317972978
-123.0,52.0,0.0106176114
-123.0,51.0,0.011312147
-123.0,50.0,0.0011968626
-123.0,49.0,0.0504760807
-123.0,48.0,0.003554102
-123.0,47.0,0.3544587793
-123.0,46.0,0.0092044227
-123.0,45.0,0.1656353571
-123.0,44.0,0.005295862
-123.0,43.0,0.0043690031
-123.0,42.0,0.0132694144
-123.0,41.0,0.0231725767
-123.0,40.0,0.023526593
-123.0,39.0,0.0547198506
-123.0,38.0,0.1411617706
-123.0,37.0,0.4939190593
-122.0,61.0,0.0008476034
-122.0,57.0,0.0010109819
-122.0,56.0,0.0010385067
-122.0,55.0,0.0010657217
-122.0,54.0,0.0010926712
-122.0,53.0,0.0011192445
-122.0,52.0,0.0011453753
-122.0,51.0,0.0100655673
-122.0,50.0,0.0112864808
-122.0,49.0,0.001222042
-122.0,48.0,0.0091685786
-122.0,47.0,0.0077166694
-122.0,46.0,0.021241418
-122.0,45.0,0.0124582747
-122.0,44.0,0.0037231447
-122.0,43.0,0.0114991119
-122.0,42.0,0.0116887318
-122.0,41.0,0.0231725767
-122.0,40.0,0.023526593
-122.0,39.0,0.0218421394
-122.0,38.0,0.1547759084
-122.0,37.0,0.2777036291
-122.0,36.0,0.0745270603
-121.0,61.0,0.0008476034
-121.0,56.0,6.33246e-05
-121.0,55.0,0.0010657217
-121.0,54.0,0.0010926712
-121.0,53.0,0.0011192445
-121.0,52.0,0.0011453753
-121.0,51.0,0.0103149275
-121.0,50.0,0.0324367397
-121.0,48.0,0.019694367
-121.0,47.0,0.0200806872
-121.0,46.0,0.0225596861
-121.0,45.0,0.0140265667
-121.0,44.0,0.0113068368
-121.0,43.0,0.0114991119
-121.0,42.0,0.0132694144
-121.0,41.0,0.0231725767
-121.0,40.0,0.023526593
-121.0,39.0,0.0218421394
-121.0,38.0,0.0205384745
-121.0,37.0,0.0677343733
-121.0,36.0,0.0575254295
-121.0,35.0,0.053379014
-120.0,61.0,0.0008476034
-120.0,59.0,0.0008033514
-120.0,58.0,0.0240775308
-120.0,57.0,0.0051642122
-120.0,56.0,0.0008737342
-120.0,55.0,0.0008966125
-120.0,54.0,0.0018610192
-120.0,53.0,0.0009415726
-120.0,52.0,0.0011453753
-120.0,51.0,0.0011712406
-120.0,50.0,0.0095349854
-120.0,49.0,0.0212411968
-120.0,48.0,0.019694367
-120.0,47.0,0.0200806872
-120.0,46.0,0.0218023126
-120.0,45.0,0.0140265667
-120.0,44.0,0.0113068368
-120.0,43.0,0.0114991119
-120.0,42.0,0.0116887318
-120.0,41.0,0.0025723706
-120.0,40.0,0.0026117549
-120.0,39.0,0.0410371222
-120.0,38.0,0.0242147121
-120.0,37.0,0.0245466023
-120.0,36.0,0.086419794
-120.0,35.0,0.0864109436
-120.0,34.0,0.0719538046
-119.0,61.0,0.0008476034
-119.0,59.0,0.0013030453
-119.0,58.0,0.0008270483
-119.0,57.0,0.0008504798
-119.0,56.0,0.0008737342
-119.0,54.0,0.0009192253
-119.0,53.0,0.0009415726
-119.0,50.0,0.0011968626
-119.0,49.0,0.0380788739
-119.0,48.0,0.019694367
-119.0,47.0,0.02141909
-119.0,46.0,0.0247081223
-119.0,45.0,0.0124582747
-119.0,44.0,0.0113068368
-119.0,43.0,0.0114991119
-119.0,42.0,0.0116887318
-119.0,41.0,0.0025723706
-119.0,40.0,0.0026117549
-119.0,39.0,0.0026502542
-119.0,38.0,0.0026880897
-119.0,37.0,0.0245466023
-119.0,36.0,0.0068026437
-119.0,35.0,0.0251882568
-119.0,34.0,0.9684114764
-119.0,33.0,0.3471571939
-118.0,61.0,0.0008476034
-118.0,59.0,0.0073113208
-118.0,58.0,0.0008270483
-118.0,57.0,0.0008504798
-118.0,56.0,0.0008737342
-118.0,55.0,0.0008966125
-118.0,54.0,0.0172029776
-118.0,53.0,0.0242036491
-118.0,52.0,0.0009636101
-118.0,51.0,0.0011712406
-118.0,50.0,0.0011968626
-118.0,49.0,0.0026958338
-118.0,48.0,0.019694367
-118.0,47.0,0.0926814566
-118.0,46.0,0.0247081223
-118.0,45.0,0.0111112428
-118.0,44.0,0.0113068368
-118.0,43.0,0.0114991119
-118.0,42.0,0.0116887318
-118.0,41.0,0.0041572572
-118.0,40.0,0.0026117549
-118.0,39.0,0.0026502542
-118.0,38.0,0.0027099945
-118.0,37.0,0.0006177362
-118.0,36.0,0.0248718548
-118.0,35.0,0.0251882568
-118.0,34.0,0.1422105438
-118.0,33.0,0.3982682913
-118.0,32.0,0.0712465667
-117.0,61.0,0.0008476034
-117.0,60.0,0.0008746857
-117.0,59.0,0.0008033514
-117.0,58.0,0.0008270483
-117.0,57.0,0.0008504798
-117.0,56.0,0.0008737342
-117.0,55.0,0.0025440493
-117.0,54.0,0.0009192253
-117.0,53.0,0.0216846021
-117.0,52.0,0.0009636101
-117.0,50.0,0.0011968626
-117.0,49.0,0.001222042
-117.0,48.0,0.0020832087
-117.0,47.0,0.0099084726
-117.0,46.0,0.0114378228
-117.0,45.0,0.0102799684
-117.0,44.0,0.0104600741
-117.0,43.0,0.0791602481
-117.0,42.0,0.0108125416
-117.0,41.0,0.0041572572
-117.0,40.0,0.0026117549
-117.0,39.0,0.0026502542
-117.0,38.0,0.0026880897
-117.0,37.0,0.0027248189
-117.0,36.0,0.0068026437
-117.0,35.0,0.0068895989
-117.0,34.0,0.0069743416
-117.0,33.0,0.0430107628
-117.0,32.0,0.0348746597
-117.0,31.0,0.0179664486
-116.0,62.0,0.0009890772
-116.0,58.0,0.0008270483
-116.0,57.0,0.0008504798
-116.0,56.0,0.0030390083
-116.0,55.0,0.0060027882
-116.0,54.0,0.0324699287
-116.0,53.0,0.0427474633
-116.0,52.0,0.0009636101
-116.0,51.0,0.0009854042
-116.0,50.0,0.0011968626
-116.0,49.0,0.001222042
-116.0,48.0,0.0010853917
-116.0,47.0,0.0011066106
-116.0,46.0,0.0021640129
-116.0,45.0,0.0102799684
-116.0,44.0,0.0104600741
-116.0,43.0,0.0106388523
-116.0,42.0,0.0108125416
-116.0,41.0,0.0041572572
-116.0,40.0,0.0026117549
-116.0,39.0,0.0026502542
-116.0,38.0,0.0026880897
-116.0,37.0,0.0027248189
-116.0,36.0,0.0655040709
-116.0,35.0,0.0251882568
-116.0,34.0,0.0069743416
-116.0,33.0,0.0088915609
-116.0,32.0,0.0336702413
-116.0,31.0,0.0089849737
-116.0,30.0,0.0699414428
-115.0,58.0,0.0035961414
-115.0,56.0,0.0008737342
-115.0,55.0,0.0392604031
-115.0,54.0,0.0047869636
-115.0,53.0,0.0798240286
-115.0,52.0,0.0131833442
-115.0,51.0,0.1633984169
-115.0,50.0,0.0021142736
-115.0,49.0,0.0378686767
-115.0,48.0,0.0010853917
-115.0,47.0,0.0080255486
-115.0,46.0,0.0021640129
-115.0,45.0,0.0022043929
-115.0,44.0,0.0104600741
-115.0,43.0,0.0106388523
-115.0,42.0,0.013974128
-115.0,41.0,0.0041572572
