long,lat,deg
-170.0,-20.0,8.46901e-05
-167.0,65.0,0.0001421038
-166.0,68.0,4.38764e-05
-166.0,65.0,0.0001421038
-166.0,64.0,0.0001475552
-166.0,61.0,0.0001635218
-165.0,68.0,4.38764e-05
-165.0,66.0,4.7737e-05
-165.0,65.0,0.0001421038
-165.0,64.0,0.0001475552
-165.0,62.0,0.0001582281
-165.0,61.0,0.0001635218
-165.0,60.0,0.000168763
-164.0,68.0,4.38764e-05
-164.0,67.0,4.5814e-05
-164.0,65.0,0.0001421038
-164.0,62.0,0.0001582281
-164.0,61.0,0.0001635218
-164.0,60.0,0.000168763
-163.0,69.0,4.19257e-05
-163.0,68.0,4.38764e-05
-163.0,67.0,4.5814e-05
-163.0,65.0,0.0001421038
-163.0,61.0,0.0001635218
-163.0,60.0,0.000168763
-163.0,55.0,0.0004467639
-162.0,69.0,4.19257e-05
-162.0,68.0,4.38764e-05
-162.0,65.0,0.0001421038
-162.0,60.0,0.000168763
-162.0,59.0,0.0001131852
-162.0,55.0,0.0001263013
-161.0,69.0,4.19257e-05
-161.0,68.0,4.38764e-05
-161.0,67.0,4.5814e-05
-161.0,66.0,4.7737e-05
-161.0,63.0,0.0001529212
-161.0,60.0,0.000168763
-161.0,59.0,0.0001131852
-161.0,55.0,0.0001263013
-160.0,70.0,3.99626e-05
-160.0,69.0,4.19257e-05
-160.0,68.0,4.38764e-05
-160.0,66.0,4.7737e-05
-160.0,60.0,0.000168763
-160.0,59.0,0.0001131852
-160.0,56.0,0.0001230765
-159.0,70.0,3.99626e-05
-159.0,69.0,4.19257e-05
-159.0,68.0,4.38764e-05
-159.0,66.0,4.7737e-05
-159.0,60.0,0.000168763
-159.0,59.0,0.0001131852
-159.0,56.0,0.0001891499
-159.0,-20.0,0.0014589314
-158.0,70.0,3.99626e-05
-158.0,69.0,4.19257e-05
-158.0,68.0,4.38764e-05
-158.0,67.0,4.5814e-05
-158.0,59.0,0.0001131852
-158.0,57.0,0.000501639
-158.0,21.0,0.0344356715
-157.0,70.0,3.99626e-05
-157.0,69.0,4.19257e-05
-157.0,68.0,4.38764e-05
-157.0,67.0,4.5814e-05
-157.0,59.0,0.0001131852
-157.0,58.0,0.0001790681
-157.0,57.0,0.0001198188
-156.0,70.0,3.99626e-05
-156.0,69.0,4.19257e-05
-156.0,68.0,4.38764e-05
-156.0,67.0,4.5814e-05
-156.0,58.0,0.0001790681
-156.0,19.0,0.0127286537
-155.0,70.0,3.99626e-05
-155.0,69.0,4.19257e-05
-155.0,68.0,4.38764e-05
-155.0,67.0,4.5814e-05
-155.0,60.0,0.0001098093
-155.0,59.0,0.0001739451
-155.0,58.0,0.0001165151
-154.0,70.0,3.99626e-05
-154.0,69.0,4.19257e-05
-154.0,68.0,4.38764e-05
-154.0,67.0,4.5814e-05
-154.0,60.0,0.0001098093
-154.0,57.0,0.0001841386
-153.0,70.0,3.99626e-05
-153.0,69.0,4.19257e-05
-153.0,68.0,4.38764e-05
-153.0,60.0,0.0001098093
-152.0,70.0,3.99626e-05
-152.0,69.0,4.19257e-05
-152.0,68.0,4.38764e-05
-152.0,62.0,0.0005124564
-152.0,61.0,0.0025802781
-152.0,59.0,0.0001131852
-151.0,70.0,0.0364855233
-151.0,69.0,4.19257e-05
-151.0,68.0,4.38764e-05
-151.0,61.0,0.0010168474
-151.0,60.0,0.0001098093
-151.0,59.0,0.0001131852
-150.0,70.0,3.99626e-05
-150.0,69.0,5.93111e-05
-150.0,68.0,4.38764e-05
-150.0,61.0,0.0129545906
-150.0,60.0,0.0001098093
-149.0,70.0,0.1633379201
-149.0,69.0,4.19257e-05
-149.0,60.0,0.0001098093
-148.0,69.0,4.19257e-05
-147.0,69.0,4.19257e-05
-146.0,69.0,4.19257e-05
