long,lat,deg
-170.0,-20.0,0.0001951174
-167.0,65.0,0.0002496372
-166.0,68.0,7.70788e-05
-166.0,65.0,0.0002496372
-166.0,64.0,0.0002592138
-166.0,61.0,0.0002872627
-165.0,68.0,7.70788e-05
-165.0,66.0,8.38608e-05
-165.0,65.0,0.0002496372
-165.0,64.0,0.0002592138
-165.0,62.0,0.0002779631
-165.0,61.0,0.0002872627
-165.0,60.0,0.0002964701
-164.0,68.0,7.70788e-05
-164.0,67.0,8.04825e-05
-164.0,65.0,0.0002496372
-164.0,62.0,0.0002779631
-164.0,61.0,0.0002872627
-164.0,60.0,0.0002964701
-163.0,69.0,7.3652e-05
-163.0,68.0,7.70788e-05
-163.0,67.0,8.04825e-05
-163.0,65.0,0.0002496372
-163.0,61.0,0.0002872627
-163.0,60.0,0.0002964701
-163.0,55.0,0.000784841
-162.0,69.0,7.3652e-05
-162.0,68.0,7.70788e-05
-162.0,65.0,0.0002496372
-162.0,60.0,0.0002964701
-162.0,59.0,0.0001988351
-162.0,55.0,0.0002218766
-161.0,69.0,7.3652e-05
-161.0,68.0,7.70788e-05
-161.0,67.0,8.04825e-05
-161.0,66.0,8.38608e-05
-161.0,63.0,0.0002686403
-161.0,60.0,0.0002964701
-161.0,59.0,0.0001988351
-161.0,55.0,0.0002218766
-160.0,70.0,7.02032e-05
-160.0,69.0,7.3652e-05
-160.0,68.0,7.70788e-05
-160.0,66.0,8.38608e-05
-160.0,60.0,0.0002964701
-160.0,59.0,0.0001988351
-160.0,56.0,0.0002162114
-159.0,70.0,7.02032e-05
-159.0,69.0,7.3652e-05
-159.0,68.0,7.70788e-05
-159.0,66.0,8.38608e-05
-159.0,60.0,0.0002964701
-159.0,59.0,0.0001988351
-159.0,56.0,0.0003322842
-159.0,-20.0,0.0033336175
-158.0,70.0,7.02032e-05
-158.0,69.0,7.3652e-05
-158.0,68.0,7.70788e-05
-158.0,67.0,8.04825e-05
-158.0,59.0,0.0001988351
-158.0,57.0,0.0008812414
-158.0,21.0,0.0604939782
-157.0,70.0,7.02032e-05
-157.0,69.0,7.3652e-05
-157.0,68.0,7.70788e-05
-157.0,67.0,8.04825e-05
-157.0,59.0,0.0001988351
-157.0,58.0,0.0003145733
-157.0,57.0,0.0002104886
-156.0,70.0,7.02032e-05
-156.0,69.0,7.3652e-05
-156.0,68.0,7.70788e-05
-156.0,67.0,8.04825e-05
-156.0,58.0,0.0003145733
-156.0,19.0,0.0223607343
-155.0,70.0,7.02032e-05
-155.0,69.0,7.3652e-05
-155.0,68.0,7.70788e-05
-155.0,67.0,8.04825e-05
-155.0,60.0,0.0001929046
-155.0,59.0,0.0003055736
-155.0,58.0,0.0002046849
-154.0,70.0,7.02032e-05
-154.0,69.0,7.3652e-05
-154.0,68.0,7.70788e-05
-154.0,67.0,8.04825e-05
-154.0,60.0,0.0001929046
-154.0,57.0,0.0003234807
-153.0,70.0,7.02032e-05
-153.0,69.0,7.3652e-05
-153.0,68.0,7.70788e-05
-153.0,60.0,0.0001929046
-152.0,70.0,7.02032e-05
-152.0,69.0,7.3652e-05
-152.0,68.0,7.70788e-05
-152.0,62.0,0.0009002445
-152.0,61.0,0.004532837
-152.0,59.0,0.0001988351
-151.0,70.0,0.0640950025
-151.0,69.0,7.3652e-05
-151.0,68.0,7.70788e-05
-151.0,61.0,0.0017863204
-151.0,60.0,0.0001929046
-151.0,59.0,0.0001988351
-150.0,70.0,7.02032e-05
-150.0,69.0,0.0001041932
-150.0,68.0,7.70788e-05
-150.0,61.0,0.0227576431
-150.0,60.0,0.0001929046
-149.0,70.0,0.2869396803
-149.0,69.0,7.3652e-05
-149.0,60.0,0.0001929046
-148.0,69.0,7.3652e-05
-147.0,69.0,7.3652e-05
-146.0,69.0,7.3652e-05
-146.0,60.0,0.0001929046
-145.0,69.0,7.3652e-05
-145.0,64.0,0.0034936051
-145.0,60.0,0.0001929046
-144.0,69.0,7.3652e-05
-144.0,60.0,0.0001929046
-143.0,69.0,7.3652e-05
-143.0,62.0,0.0002779631
-143.0,60.0,0.0001929046
-142.0,69.0,7.3652e-05
-142.0,60.0,0.0001929046
-141.0,69.0,0.0006330118
-141.0,68.0,0.0006624569
-141.0,60.0,0.0001929046
-140.0,69.0,0.0006330118
-140.0,68.0,0.0006624569
-140.0,67.0,0.0006917059
-140.0,63.0,6.44215e-05
-140.0,62.0,6.66657e-05
-140.0,61.0,6.88937e-05
-140.0,60.0,0.0001929046
-139.0,68.0,0.0006624569
-139.0,67.0,0.0006917059
-139.0,63.0,6.44215e-05
-139.0,61.0,6.88937e-05
-139.0,59.0,0.0001988351
-138.0,68.0,0.0006624569
-138.0,67.0,0.0006917059
-138.0,63.0,6.44215e-05
-138.0,61.0,6.88937e-05
-138.0,60.0,7.10744e-05
-137.0,68.0,0.0006624569
-137.0,67.0,0.0006917059
-137.0,63.0,6.44215e-05
-137.0,62.0,6.66657e-05
-137.0,60.0,7.10744e-05
-137.0,58.0,0.0002046849
-136.0,68.0,0.0020640411
-136.0,67.0,0.0006938866
-136.0,63.0,6.44215e-05
-136.0,61.0,6.88937e-05
-136.0,60.0,7.10744e-05
-136.0,58.0,0.000555107
-136.0,57.0,0.0002104886
-135.0,69.0,0.0006349964
-135.0,68.0,0.0006645453
-135.0,67.0,0.0006938866
-135.0,62.0,6.66657e-05
-135.0,60.0,7.10744e-05
-135.0,58.0,0.0002046849
-135.0,57.0,0.0002104886
-134.0,69.0,0.0006349964
-134.0,68.0,0.0006645453
-134.0,62.0,6.66657e-05
-134.0,60.0,7.10744e-05
-133.0,69.0,0.0006349964
-133.0,68.0,0.0006645453
-133.0,66.0,0.0007230201
-133.0,61.0,6.88937e-05
-133.0,56.0,0.0002162114
-132.0,69.0,0.0006349964
-132.0,62.0,6.66657e-05
-132.0,61.0,6.88937e-05
-132.0,59.0,0.0004980167
-131.0,69.0,0.0006349964
-131.0,68.0,0.0006645453
-131.0,61.0,6.88937e-05
-131.0,58.0,0.0005126469
-131.0,55.0,0.0005500533
-130.0,69.0,0.0006349964
-130.0,68.0,0.0006645453
-130.0,61.0,6.88937e-05
