long,lat,deg
-170.0,-20.0,1.94449e-05
-167.0,65.0,0.0009588393
-166.0,68.0,0.0001988859
-166.0,65.0,0.0009588393
-166.0,64.0,0.0009957285
-166.0,61.0,0.0011033991
-165.0,68.0,0.0001988859
-165.0,66.0,0.0002163856
-165.0,65.0,0.0009588393
-165.0,64.0,0.0009957285
-165.0,62.0,0.0010676302
-165.0,61.0,0.0011033991
-165.0,60.0,0.0011387757
-164.0,68.0,0.0001988859
-164.0,67.0,0.0002076685
-164.0,65.0,0.0009588393
-164.0,62.0,0.0010676302
-164.0,61.0,0.0011033991
-164.0,60.0,0.0011387757
-163.0,69.0,0.0001900437
-163.0,68.0,0.0001988859
-163.0,67.0,0.0002076685
-163.0,65.0,0.0009588393
-163.0,61.0,0.0011033991
-163.0,60.0,0.0011387757
-163.0,55.0,0.0125137604
-162.0,69.0,0.0001900437
-162.0,68.0,0.0001988859
-162.0,65.0,0.0009588393
-162.0,60.0,0.0011387757
-162.0,59.0,0.0011737322
-162.0,55.0,0.0013097769
-161.0,69.0,0.0001900437
-161.0,68.0,0.0001988859
-161.0,67.0,0.0002076685
-161.0,66.0,0.0002163856
-161.0,63.0,0.0010318894
-161.0,60.0,0.0011387757
-161.0,59.0,0.0011737322
-161.0,55.0,0.0013097769
-160.0,70.0,0.000181145
-160.0,69.0,0.0001900437
-160.0,68.0,0.0001988859
-160.0,66.0,0.0002163856
-160.0,60.0,0.0011387757
-160.0,59.0,0.0011737322
-160.0,56.0,0.001276361
-159.0,70.0,0.000181145
-159.0,69.0,0.0001900437
-159.0,68.0,0.0001988859
-159.0,66.0,0.0002163856
-159.0,60.0,0.0011387757
-159.0,59.0,0.0011737322
-159.0,56.0,0.001276361
-159.0,-20.0,0.0019289331
-158.0,70.0,0.000181145
-158.0,69.0,0.0001900437
-158.0,68.0,0.0001988859
-158.0,67.0,0.0002076685
-158.0,59.0,0.0011737322
-158.0,57.0,0.0124465363
-158.0,21.0,0.3670154066
-157.0,70.0,0.000181145
-157.0,69.0,0.0001900437
-157.0,68.0,0.0001988859
-157.0,67.0,0.0002076685
-157.0,59.0,0.0011737322
-157.0,58.0,0.0012083246
-157.0,57.0,0.0012425529
-156.0,70.0,0.000181145
-156.0,69.0,0.0001900437
-156.0,68.0,0.0001988859
-156.0,67.0,0.0002076685
-156.0,58.0,0.0012083246
-156.0,19.0,0.0943237718
-155.0,70.0,0.000181145
-155.0,69.0,0.0001900437
-155.0,68.0,0.0001988859
-155.0,67.0,0.0002076685
-155.0,60.0,0.0011387757
-155.0,59.0,0.0011737322
-155.0,58.0,0.0012083246
-154.0,70.0,0.000181145
-154.0,69.0,0.0001900437
-154.0,68.0,0.0001988859
-154.0,67.0,0.0002076685
-154.0,60.0,0.0011387757
-154.0,57.0,0.0012425529
-153.0,70.0,0.000181145
-153.0,69.0,0.0001900437
-153.0,68.0,0.0001988859
-153.0,60.0,0.0011387757
-152.0,70.0,0.000181145
-152.0,69.0,0.0001900437
-152.0,68.0,0.0001988859
-152.0,62.0,0.0001498323
-152.0,61.0,0.0007544191
-152.0,59.0,0.0011737322
-151.0,70.0,0.0106558417
-151.0,69.0,0.0001900437
-151.0,68.0,0.0001988859
-151.0,61.0,0.0001810091
-151.0,60.0,0.0011387757
-151.0,59.0,0.0011737322
-150.0,70.0,0.000181145
-150.0,69.0,1.1617e-06
-150.0,68.0,0.0001988859
-150.0,61.0,0.140352652
-150.0,60.0,0.0011387757
-149.0,70.0,1.5488e-06
-149.0,69.0,0.0001900437
-149.0,60.0,0.0011387757
-148.0,69.0,0.0001900437
-147.0,69.0,0.0001900437
-146.0,69.0,0.0001900437
-146.0,60.0,0.0011387757
-145.0,69.0,0.0001900437
-145.0,64.0,0.0090145292
-145.0,60.0,0.0011387757
-144.0,69.0,0.0001900437
-144.0,60.0,0.0011387757
-143.0,69.0,0.0001900437
-143.0,62.0,0.0010676302
-143.0,60.0,0.0011387757
-142.0,69.0,0.0001900437
-142.0,60.0,0.0011387757
-141.0,69.0,0.0016333568
-141.0,68.0,0.0017093338
-141.0,60.0,0.0011387757
-140.0,69.0,0.0016333568
-140.0,68.0,0.0017093338
-140.0,67.0,0.0017848047
-140.0,63.0,0.0002862905
-140.0,62.0,0.0002962621
-140.0,61.0,0.0003061776
-140.0,60.0,0.0011387757
-139.0,68.0,0.0017093338
-139.0,67.0,0.0017848047
-139.0,63.0,0.0002862905
-139.0,61.0,0.0003061776
-139.0,59.0,0.0011737322
-138.0,68.0,0.0017093338
-138.0,67.0,0.0017848047
-138.0,63.0,0.0002862905
-138.0,61.0,0.0003061776
-138.0,60.0,0.0003158691
-137.0,68.0,0.0017093338
-137.0,67.0,0.0017848047
-137.0,63.0,0.0002862905
-137.0,62.0,0.0002962621
-137.0,60.0,0.0003158691
-137.0,58.0,0.0012083246
-136.0,68.0,0.0125386038
-136.0,67.0,0.0017904315
-136.0,63.0,0.0002862905
-136.0,61.0,0.0003061776
-136.0,60.0,0.0003158691
-136.0,58.0,0.0112040115
-136.0,57.0,0.0012425529
-135.0,69.0,0.0016384775
-135.0,68.0,0.0017147225
-135.0,67.0,0.0017904315
-135.0,62.0,0.0002962621
-135.0,60.0,0.0003158691
-135.0,58.0,0.0012083246
-135.0,57.0,0.0012425529
-134.0,69.0,0.0016384775
-134.0,68.0,0.0017147225
-134.0,62.0,0.0002962621
-134.0,60.0,0.0003158691
-133.0,69.0,0.0016384775
-133.0,68.0,0.0017147225
-133.0,66.0,0.0018656047
-133.0,61.0,0.0003061776
-133.0,56.0,0.001276361
-132.0,69.0,0.0016384775
-132.0,62.0,0.0002962621
-132.0,61.0,0.0003061776
-132.0,59.0,0.0022132404
-131.0,69.0,0.0016384775
-131.0,68.0,0.0017147225
-131.0,61.0,0.0003061776
-131.0,58.0,0.0022782517
-131.0,55.0,0.0014192993
-130.0,69.0,0.0016384775
-130.0,68.0,0.0017147225
-130.0,61.0,0.0003061776
-129.0,68.0,0.0017147225
-129.0,56.0,0.0024067057
-129.0,55.0,0.0024697843
-129.0,54.0,0.0012919065
-128.0,59.0,0.0022132404
-128.0,55.0,0.0024697843
-128.0,54.0,0.0025322746
-128.0,50.0,0.0027736651
-127.0,65.0,1.1589e-06
-127.0,59.0,0.0022132404
-127.0,56.0,0.0024067057
-127.0,55.0,0.0024697843
-127.0,54.0,0.0025322746
-127.0,53.0,0.0025937847
-127.0,50.0,0.0139775645
-126.0,58.0,0.0022782517
-126.0,57.0,0.0023429549
-126.0,56.0,0.0024067057
-126.0,55.0,0.0024697843
-126.0,54.0,0.0025322746
-126.0,53.0,0.0025937847
-126.0,52.0,0.0026543984
-126.0,50.0,0.0139775645
-126.0,49.0,0.002832094
-125.0,56.0,0.0024067057
-125.0,55.0,0.0024697843
-125.0,54.0,0.0025322746
-125.0,53.0,0.0025937847
-125.0,52.0,0.0026543984
-125.0,51.0,0.0027143398
-125.0,49.0,0.002832094
-125.0,48.0,0.0028895145
-125.0,42.0,0.0286626624
-124.0,58.0,0.0022782517
-124.0,55.0,0.0024697843
-124.0,54.0,0.0025322746
-124.0,53.0,0.0025937847
-124.0,52.0,0.011057519
-124.0,51.0,0.0027143398
-124.0,49.0,0.4197582907
-124.0,48.0,0.067260482
-124.0,47.0,0.0237847159
-124.0,46.0,0.0382841073
-124.0,45.0,0.0309454797
-124.0,44.0,0.2886153362
-124.0,43.0,0.0285114082
-124.0,42.0,0.020293826
-124.0,41.0,0.0195129064
-124.0,40.0,0.0366203116
-124.0,39.0,0.0453342315
-123.0,61.0,0.0019642873
-123.0,59.0,0.0022132404
-123.0,58.0,0.0022782517
-123.0,57.0,0.0023429549
-123.0,56.0,0.0024067057
-123.0,55.0,0.0024697843
-123.0,54.0,0.0025322746
-123.0,53.0,0.055538285
-123.0,52.0,0.0194605277
-123.0,51.0,0.0251224749
-123.0,50.0,0.0027736651
-123.0,49.0,0.1406243493
-123.0,48.0,0.0281080638
-123.0,47.0,1.1175161168
-123.0,46.0,0.0414352355
-123.0,45.0,0.5171491607
-123.0,44.0,0.0284693932
-123.0,43.0,0.0116737397
-123.0,42.0,0.0286934734
-123.0,41.0,0.0195193487
-123.0,40.0,0.0199467818
-123.0,39.0,0.0369620339
-123.0,38.0,0.2690867441
-123.0,37.0,1.496827926
-122.0,61.0,0.0019642873
-122.0,57.0,0.0023429549
-122.0,56.0,0.0024067057
-122.0,55.0,0.0024697843
-122.0,54.0,0.0025322746
-122.0,53.0,0.0025937847
-122.0,52.0,0.0026543984
-122.0,51.0,0.0111174605
-122.0,50.0,0.0196025385
-122.0,49.0,0.002832094
-122.0,48.0,0.0401019581
-122.0,47.0,0.0237550253
-122.0,46.0,0.0326036734
-122.0,45.0,0.0252728887
-122.0,44.0,0.0114964362
-122.0,43.0,0.0116597346
-122.0,42.0,0.0118703701
-122.0,41.0,0.0195126263
-122.0,40.0,0.0198148545
-122.0,39.0,0.0369760389
-122.0,38.0,0.3707687505
-122.0,37.0,0.7994062203
-122.0,36.0,0.1252692515
-121.0,61.0,0.0019642873
-121.0,56.0,5.7611e-06
-121.0,55.0,0.0024697843
-121.0,54.0,0.0025322746
-121.0,53.0,0.0025937847
-121.0,52.0,0.0026543984
-121.0,51.0,0.0139184634
-121.0,50.0,0.0669523717
-121.0,48.0,0.023296221
-121.0,47.0,0.0248913921
-121.0,46.0,0.0466086878
-121.0,45.0,0.0430065981
-121.0,44.0,0.011468146
-121.0,43.0,0.0116560933
-121.0,42.0,0.0286570604
-121.0,41.0,0.0195112258
-121.0,40.0,0.0198120535
-121.0,39.0,0.0369144169
-121.0,38.0,0.0204159497
-121.0,37.0,0.1312185817
-121.0,36.0,0.0747335577
-121.0,35.0,0.0223209118
-120.0,61.0,0.0019642873
-120.0,59.0,0.0018617146
-120.0,58.0,0.0019166422
-120.0,57.0,0.0019708976
-120.0,56.0,0.002024873
-120.0,55.0,0.002077868
-120.0,54.0,0.0021302467
-120.0,53.0,0.0021820092
-120.0,52.0,0.0026543984
-120.0,51.0,0.0027143398
-120.0,50.0,0.0027736651
-120.0,49.0,0.0492276255
-120.0,48.0,0.023296221
-120.0,47.0,0.0237550253
-120.0,46.0,0.0384325604
-120.0,45.0,0.0423959795
-120.0,44.0,0.011462544
-120.0,43.0,0.011658054
-120.0,42.0,0.0118502029
-120.0,41.0,0.0017953308
-120.0,40.0,0.001823817
-120.0,39.0,0.1207092189
-120.0,38.0,0.0204016646
-120.0,37.0,0.0206823251
-120.0,36.0,0.2605772974
-120.0,35.0,0.154934673
-120.0,34.0,0.2288839499
-119.0,61.0,0.0019642873
-119.0,59.0,0.0074638323
