long,lat,deg
-170.0,-20.0,3.85087e-05
-167.0,65.0,0.0011918518
-166.0,68.0,0.0002472181
-166.0,65.0,0.0011918518
-166.0,64.0,0.0012377056
-166.0,61.0,0.0013715418
-165.0,68.0,0.0002472181
-165.0,66.0,0.0002689706
-165.0,65.0,0.0011918518
-165.0,64.0,0.0012377056
-165.0,62.0,0.0013270806
-165.0,61.0,0.0013715418
-165.0,60.0,0.0014155155
-164.0,68.0,0.0002472181
-164.0,67.0,0.0002581351
-164.0,65.0,0.0011918518
-164.0,62.0,0.0013270806
-164.0,61.0,0.0013715418
-164.0,60.0,0.0014155155
-163.0,69.0,0.0002362272
-163.0,68.0,0.0002472181
-163.0,67.0,0.0002581351
-163.0,65.0,0.0011918518
-163.0,61.0,0.0013715418
-163.0,60.0,0.0014155155
-163.0,55.0,0.015554794
-162.0,69.0,0.0002362272
-162.0,68.0,0.0002472181
-162.0,65.0,0.0011918518
-162.0,60.0,0.0014155155
-162.0,59.0,0.001458967
-162.0,55.0,0.0016280726
-161.0,69.0,0.0002362272
-161.0,68.0,0.0002472181
-161.0,67.0,0.0002581351
-161.0,66.0,0.0002689706
-161.0,63.0,0.0012826542
-161.0,60.0,0.0014155155
-161.0,59.0,0.001458967
-161.0,55.0,0.0016280726
-160.0,70.0,0.000225166
-160.0,69.0,0.0002362272
-160.0,68.0,0.0002472181
-160.0,66.0,0.0002689706
-160.0,60.0,0.0014155155
-160.0,59.0,0.001458967
-160.0,56.0,0.0015865361
-159.0,70.0,0.000225166
-159.0,69.0,0.0002362272
-159.0,68.0,0.0002472181
-159.0,66.0,0.0002689706
-159.0,60.0,0.0014155155
-159.0,59.0,0.001458967
-159.0,56.0,0.0015865361
-159.0,-20.0,0.0043173696
-158.0,70.0,0.000225166
-158.0,69.0,0.0002362272
-158.0,68.0,0.0002472181
-158.0,67.0,0.0002581351
-158.0,59.0,0.001458967
-158.0,57.0,0.0154712335
-158.0,21.0,0.4562057172
-157.0,70.0,0.000225166
-157.0,69.0,0.0002362272
-157.0,68.0,0.0002472181
-157.0,67.0,0.0002581351
-157.0,59.0,0.001458967
-157.0,58.0,0.0015019658
-157.0,57.0,0.0015445121
-156.0,70.0,0.000225166
-156.0,69.0,0.0002362272
-156.0,68.0,0.0002472181
-156.0,67.0,0.0002581351
-156.0,58.0,0.0015019658
-156.0,19.0,0.117245879
-155.0,70.0,0.000225166
-155.0,69.0,0.0002362272
-155.0,68.0,0.0002472181
-155.0,67.0,0.0002581351
-155.0,60.0,0.0014155155
-155.0,59.0,0.001458967
-155.0,58.0,0.0015019658
-154.0,70.0,0.000225166
-154.0,69.0,0.0002362272
-154.0,68.0,0.0002472181
-154.0,67.0,0.0002581351
-154.0,60.0,0.0014155155
-154.0,57.0,0.0015445121
-153.0,70.0,0.000225166
-153.0,69.0,0.0002362272
-153.0,68.0,0.0002472181
-153.0,60.0,0.0014155155
-152.0,70.0,0.000225166
-152.0,69.0,0.0002362272
-152.0,68.0,0.0002472181
-152.0,62.0,0.0001862439
-152.0,61.0,0.0009377544
-152.0,59.0,0.001458967
-151.0,70.0,0.0132453729
-151.0,69.0,0.0002362272
-151.0,68.0,0.0002472181
-151.0,61.0,0.0002249971
-151.0,60.0,0.0014155155
-151.0,59.0,0.001458967
-150.0,70.0,0.000225166
-150.0,69.0,1.444e-06
-150.0,68.0,0.0002472181
-150.0,61.0,0.1744604753
-150.0,60.0,0.0014155155
-149.0,70.0,1.9252e-06
-149.0,69.0,0.0002362272
-149.0,60.0,0.0014155155
-148.0,69.0,0.0002362272
-147.0,69.0,0.0002362272
-146.0,69.0,0.0002362272
-146.0,60.0,0.0014155155
-145.0,69.0,0.0002362272
-145.0,64.0,0.0112051965
