long,lat,deg
-170.0,-20.0,3.55522e-05
-167.0,65.0,0.0007991291
-166.0,68.0,0.0001657582
-166.0,65.0,0.0007991291
-166.0,64.0,0.0008298738
-166.0,61.0,0.0009196101
-165.0,68.0,0.0001657582
-165.0,66.0,0.0001803431
-165.0,65.0,0.0007991291
-165.0,64.0,0.0008298738
-165.0,62.0,0.0008897992
-165.0,61.0,0.0009196101
-165.0,60.0,0.0009490942
-164.0,68.0,0.0001657582
-164.0,67.0,0.0001730779
-164.0,65.0,0.0007991291
-164.0,62.0,0.0008897992
-164.0,61.0,0.0009196101
-164.0,60.0,0.0009490942
-163.0,69.0,0.0001583889
-163.0,68.0,0.0001657582
-163.0,67.0,0.0001730779
-163.0,65.0,0.0007991291
-163.0,61.0,0.0009196101
-163.0,60.0,0.0009490942
-163.0,55.0,0.0104293916
-162.0,69.0,0.0001583889
-162.0,68.0,0.0001657582
-162.0,65.0,0.0007991291
-162.0,60.0,0.0009490942
-162.0,59.0,0.0009782282
-162.0,55.0,0.0010916124
-161.0,69.0,0.0001583889
-161.0,68.0,0.0001657582
-161.0,67.0,0.0001730779
-161.0,66.0,0.0001803431
-161.0,63.0,0.0008600116
-161.0,60.0,0.0009490942
-161.0,59.0,0.0009782282
-161.0,55.0,0.0010916124
-160.0,70.0,0.0001509724
-160.0,69.0,0.0001583889
-160.0,68.0,0.0001657582
-160.0,66.0,0.0001803431
-160.0,60.0,0.0009490942
-160.0,59.0,0.0009782282
-160.0,56.0,0.0010637625
-159.0,70.0,0.0001509724
-159.0,69.0,0.0001583889
-159.0,68.0,0.0001657582
-159.0,66.0,0.0001803431
-159.0,60.0,0.0009490942
-159.0,59.0,0.0009782282
-159.0,56.0,0.0010637625
-159.0,-20.0,0.0031789216
-158.0,70.0,0.0001509724
-158.0,69.0,0.0001583889
-158.0,68.0,0.0001657582
-158.0,67.0,0.0001730779
-158.0,59.0,0.0009782282
-158.0,57.0,0.0103733647
-158.0,21.0,0.3058830644
-157.0,70.0,0.0001509724
-157.0,69.0,0.0001583889
-157.0,68.0,0.0001657582
-157.0,67.0,0.0001730779
-157.0,59.0,0.0009782282
-157.0,58.0,0.0010070586
-157.0,57.0,0.0010355856
-156.0,70.0,0.0001509724
-156.0,69.0,0.0001583889
-156.0,68.0,0.0001657582
-156.0,67.0,0.0001730779
-156.0,58.0,0.0010070586
-156.0,19.0,0.0786126245
-155.0,70.0,0.0001509724
-155.0,69.0,0.0001583889
-155.0,68.0,0.0001657582
-155.0,67.0,0.0001730779
-155.0,60.0,0.0009490942
-155.0,59.0,0.0009782282
-155.0,58.0,0.0010070586
-154.0,70.0,0.0001509724
-154.0,69.0,0.0001583889
-154.0,68.0,0.0001657582
-154.0,67.0,0.0001730779
-154.0,60.0,0.0009490942
-154.0,57.0,0.0010355856
-153.0,70.0,0.0001509724
-153.0,69.0,0.0001583889
-153.0,68.0,0.0001657582
-153.0,60.0,0.0009490942
-152.0,70.0,0.0001509724
-152.0,69.0,0.0001583889
-152.0,68.0,0.0001657582
-152.0,62.0,0.0001248753
-152.0,61.0,0.0006287584
-152.0,59.0,0.0009782282
-151.0,70.0,0.0088809392
-151.0,69.0,0.0001583889
-151.0,68.0,0.0001657582
-151.0,61.0,0.0001508591
-151.0,60.0,0.0009490942
-151.0,59.0,0.0009782282
-150.0,70.0,0.0001509724
-150.0,69.0,9.682e-07
-150.0,68.0,0.0001657582
-150.0,61.0,0.1169746515
-150.0,60.0,0.0009490942
-149.0,70.0,1.2908e-06
-149.0,69.0,0.0001583889
-149.0,60.0,0.0009490942
-148.0,69.0,0.0001583889
-147.0,69.0,0.0001583889
-146.0,69.0,0.0001583889
-146.0,60.0,0.0009490942
-145.0,69.0,0.0001583889
-145.0,64.0,0.0075130138
-145.0,60.0,0.0009490942
-144.0,69.0,0.0001583889
-144.0,60.0,0.0009490942
-143.0,69.0,0.0001583889
-143.0,62.0,0.0008897992
-143.0,60.0,0.0009490942
-142.0,69.0,0.0001583889
-142.0,60.0,0.0009490942
-141.0,69.0,0.0013612949
-141.0,68.0,0.0014246167
-141.0,60.0,0.0009490942
-140.0,69.0,0.0013612949
-140.0,68.0,0.0014246167
-140.0,67.0,0.0014875167
-140.0,63.0,0.0002386042
-140.0,62.0,0.0002469148
-140.0,61.0,0.0002551788
-140.0,60.0,0.0009490942
-139.0,68.0,0.0014246167
-139.0,67.0,0.0014875167
-139.0,63.0,0.0002386042
-139.0,61.0,0.0002551788
-139.0,59.0,0.0009782282
-138.0,68.0,0.0014246167
-138.0,67.0,0.0014875167
-138.0,63.0,0.0002386042
-138.0,61.0,0.0002551788
-138.0,60.0,0.000263256
-137.0,68.0,0.0014246167
-137.0,67.0,0.0014875167
-137.0,63.0,0.0002386042
-137.0,62.0,0.0002469148
-137.0,60.0,0.000263256
-137.0,58.0,0.0010070586
-136.0,68.0,0.0104500969
-136.0,67.0,0.0014922063
-136.0,63.0,0.0002386042
-136.0,61.0,0.0002551788
-136.0,60.0,0.000263256
-136.0,58.0,0.0093378025
-136.0,57.0,0.0010355856
-135.0,69.0,0.0013655626
-135.0,68.0,0.0014291078
-135.0,67.0,0.0014922063
-135.0,62.0,0.0002469148
-135.0,60.0,0.000263256
-135.0,58.0,0.0010070586
-135.0,57.0,0.0010355856
-134.0,69.0,0.0013655626
-134.0,68.0,0.0014291078
-134.0,62.0,0.0002469148
-134.0,60.0,0.000263256
-133.0,69.0,0.0013655626
-133.0,68.0,0.0014291078
-133.0,66.0,0.0015548581
-133.0,61.0,0.0002551788
-133.0,56.0,0.0010637625
-132.0,69.0,0.0013655626
-132.0,62.0,0.0002469148
-132.0,61.0,0.0002551788
-132.0,59.0,0.0018445895
-131.0,69.0,0.0013655626
-131.0,68.0,0.0014291078
-131.0,61.0,0.0002551788
-131.0,58.0,0.0018987721
-131.0,55.0,0.0011828921
-130.0,69.0,0.0013655626
-130.0,68.0,0.0014291078
-130.0,61.0,0.0002551788
-129.0,68.0,0.0014291078
-129.0,56.0,0.00200583
-129.0,55.0,0.0020584018
-129.0,54.0,0.0010767186
-128.0,59.0,0.0018445895
-128.0,55.0,0.0020584018
-128.0,54.0,0.0021104834
-128.0,50.0,0.0023116664
-127.0,65.0,9.659e-07
-127.0,59.0,0.0018445895
-127.0,56.0,0.00200583
-127.0,55.0,0.0020584018
-127.0,54.0,0.0021104834
-127.0,53.0,0.002161748
-127.0,50.0,0.0116493755
-126.0,58.0,0.0018987721
-126.0,57.0,0.0019526979
-126.0,56.0,0.00200583
-126.0,55.0,0.0020584018
-126.0,54.0,0.0021104834
-126.0,53.0,0.002161748
-126.0,52.0,0.0022122655
-126.0,50.0,0.0116493755
-126.0,49.0,0.002360363
-125.0,56.0,0.00200583
-125.0,55.0,0.0020584018
-125.0,54.0,0.0021104834
-125.0,53.0,0.002161748
-125.0,52.0,0.0022122655
-125.0,51.0,0.0022622227
-125.0,49.0,0.002360363
