long,lat,deg
-170.0,-20.0,4.00996e-05
-167.0,65.0,0.000943367
-166.0,68.0,0.0001956766
-166.0,65.0,0.000943367
-166.0,64.0,0.000979661
-166.0,61.0,0.0010855941
-165.0,68.0,0.0001956766
-165.0,66.0,0.0002128939
-165.0,65.0,0.000943367
-165.0,64.0,0.000979661
-165.0,62.0,0.0010504025
-165.0,61.0,0.0010855941
-165.0,60.0,0.0011203999
-164.0,68.0,0.0001956766
-164.0,67.0,0.0002043175
-164.0,65.0,0.000943367
-164.0,62.0,0.0010504025
-164.0,61.0,0.0010855941
-164.0,60.0,0.0011203999
-163.0,69.0,0.0001869771
-163.0,68.0,0.0001956766
-163.0,67.0,0.0002043175
-163.0,65.0,0.000943367
-163.0,61.0,0.0010855941
-163.0,60.0,0.0011203999
-163.0,55.0,0.0123118329
-162.0,69.0,0.0001869771
-162.0,68.0,0.0001956766
-162.0,65.0,0.000943367
-162.0,60.0,0.0011203999
-162.0,59.0,0.0011547924
-162.0,55.0,0.0012886418
-161.0,69.0,0.0001869771
-161.0,68.0,0.0001956766
-161.0,67.0,0.0002043175
-161.0,66.0,0.0002128939
-161.0,63.0,0.0010152384
-161.0,60.0,0.0011203999
-161.0,59.0,0.0011547924
-161.0,55.0,0.0012886418
-160.0,70.0,0.000178222
-160.0,69.0,0.0001869771
-160.0,68.0,0.0001956766
-160.0,66.0,0.0002128939
-160.0,60.0,0.0011203999
-160.0,59.0,0.0011547924
-160.0,56.0,0.0012557651
-159.0,70.0,0.000178222
-159.0,69.0,0.0001869771
-159.0,68.0,0.0001956766
-159.0,66.0,0.0002128939
-159.0,60.0,0.0011203999
-159.0,59.0,0.0011547924
-159.0,56.0,0.0012557651
-159.0,-20.0,0.003148107
-158.0,70.0,0.000178222
-158.0,69.0,0.0001869771
-158.0,68.0,0.0001956766
-158.0,67.0,0.0002043175
-158.0,59.0,0.0011547924
-158.0,57.0,0.0122456936
-158.0,21.0,0.3610930861
-157.0,70.0,0.000178222
-157.0,69.0,0.0001869771
-157.0,68.0,0.0001956766
-157.0,67.0,0.0002043175
-157.0,59.0,0.0011547924
-157.0,58.0,0.0011888266
-157.0,57.0,0.0012225025
-156.0,70.0,0.000178222
-156.0,69.0,0.0001869771
-156.0,68.0,0.0001956766
-156.0,67.0,0.0002043175
-156.0,58.0,0.0011888266
-156.0,19.0,0.0928017223
