long,lat,deg
-170.0,-20.0,3.1642e-06
-167.0,65.0,0.0002192491
-166.0,68.0,4.54774e-05
-166.0,65.0,0.0002192491
-166.0,64.0,0.0002276842
-166.0,61.0,0.0002523043
-165.0,68.0,4.54774e-05
-165.0,66.0,4.94789e-05
-165.0,65.0,0.0002192491
-165.0,64.0,0.0002276842
-165.0,62.0,0.0002441254
-165.0,61.0,0.0002523043
-165.0,60.0,0.0002603936
-164.0,68.0,4.54774e-05
-164.0,67.0,4.74857e-05
-164.0,65.0,0.0002192491
-164.0,62.0,0.0002441254
-164.0,61.0,0.0002523043
-164.0,60.0,0.0002603936
-163.0,69.0,4.34556e-05
-163.0,68.0,4.54774e-05
-163.0,67.0,4.74857e-05
-163.0,65.0,0.0002192491
-163.0,61.0,0.0002523043
-163.0,60.0,0.0002603936
-163.0,55.0,0.0028614085
-162.0,69.0,4.34556e-05
-162.0,68.0,4.54774e-05
-162.0,65.0,0.0002192491
-162.0,60.0,0.0002603936
-162.0,59.0,0.0002683867
-162.0,55.0,0.0002994949
-161.0,69.0,4.34556e-05
-161.0,68.0,4.54774e-05
-161.0,67.0,4.74857e-05
-161.0,66.0,4.94789e-05
-161.0,63.0,0.0002359528
-161.0,60.0,0.0002603936
-161.0,59.0,0.0002683867
-161.0,55.0,0.0002994949
-160.0,70.0,4.14208e-05
-160.0,69.0,4.34556e-05
-160.0,68.0,4.54774e-05
-160.0,66.0,4.94789e-05
-160.0,60.0,0.0002603936
-160.0,59.0,0.0002683867
-160.0,56.0,0.0002918539
-159.0,70.0,4.14208e-05
-159.0,69.0,4.34556e-05
-159.0,68.0,4.54774e-05
-159.0,66.0,4.94789e-05
-159.0,60.0,0.0002603936
-159.0,59.0,0.0002683867
-159.0,56.0,0.0002918539
-159.0,-20.0,0.0007435148
-158.0,70.0,4.14208e-05
-158.0,69.0,4.34556e-05
-158.0,68.0,4.54774e-05
-158.0,67.0,4.74857e-05
-158.0,59.0,0.0002683867
-158.0,57.0,0.002846037
-158.0,21.0,0.0839220971
-157.0,70.0,4.14208e-05
-157.0,69.0,4.34556e-05
-157.0,68.0,4.54774e-05
-157.0,67.0,4.74857e-05
-157.0,59.0,0.0002683867
-157.0,58.0,0.0002762967
-157.0,57.0,0.0002841233
-156.0,70.0,4.14208e-05
-156.0,69.0,4.34556e-05
-156.0,68.0,4.54774e-05
-156.0,67.0,4.74857e-05
-156.0,58.0,0.0002762967
-156.0,19.0,0.0215681647
-155.0,70.0,4.14208e-05
-155.0,69.0,4.34556e-05
-155.0,68.0,4.54774e-05
-155.0,67.0,4.74857e-05
-155.0,60.0,0.0002603936
-155.0,59.0,0.0002683867
-155.0,58.0,0.0002762967
-154.0,70.0,4.14208e-05
-154.0,69.0,4.34556e-05
-154.0,68.0,4.54774e-05
-154.0,67.0,4.74857e-05
-154.0,60.0,0.0002603936
-154.0,57.0,0.0002841233
-153.0,70.0,4.14208e-05
-153.0,69.0,4.34556e-05
-153.0,68.0,4.54774e-05
-153.0,60.0,0.0002603936
-152.0,70.0,4.14208e-05
-152.0,69.0,4.34556e-05
-152.0,68.0,4.54774e-05
-152.0,62.0,3.42608e-05
-152.0,61.0,0.0001725062
-152.0,59.0,0.0002683867
-151.0,70.0,0.0024365751
-151.0,69.0,4.34556e-05
-151.0,68.0,4.54774e-05
-151.0,61.0,4.13897e-05
-151.0,60.0,0.0002603936
-151.0,59.0,0.0002683867
-150.0,70.0,4.14208e-05
-150.0,69.0,2.656e-07
-150.0,68.0,4.54774e-05
-150.0,61.0,0.0320931729
-150.0,60.0,0.0002603936
-149.0,70.0,3.541e-07
-149.0,69.0,4.34556e-05
-149.0,60.0,0.0002603936
-148.0,69.0,4.34556e-05
-147.0,69.0,4.34556e-05
-146.0,69.0,4.34556e-05
-146.0,60.0,0.0002603936
-145.0,69.0,4.34556e-05
-145.0,64.0,0.002061271
-145.0,60.0,0.0002603936
-144.0,69.0,4.34556e-05
-144.0,60.0,0.0002603936
-143.0,69.0,4.34556e-05
-143.0,62.0,0.0002441254
-143.0,60.0,0.0002603936
-142.0,69.0,4.34556e-05
-142.0,60.0,0.0002603936
-141.0,69.0,0.0003734849
-141.0,68.0,0.0003908579
-141.0,60.0,0.0002603936
-140.0,69.0,0.0003734849
-140.0,68.0,0.0003908579
-140.0,67.0,0.0004081152
-140.0,63.0,6.54635e-05
-140.0,62.0,6.77436e-05
-140.0,61.0,7.00109e-05
-140.0,60.0,0.0002603936
-139.0,68.0,0.0003908579
-139.0,67.0,0.0004081152
-139.0,63.0,6.54635e-05
-139.0,61.0,7.00109e-05
-139.0,59.0,0.0002683867
-138.0,68.0,0.0003908579
