long,lat,deg
-170.0,-20.0,4.07533e-05
-167.0,65.0,0.0007659576
-166.0,68.0,0.0001588777
-166.0,65.0,0.0007659576
-166.0,64.0,0.0007954261
-166.0,61.0,0.0008814375
-165.0,68.0,0.0001588777
-165.0,66.0,0.0001728571
-165.0,65.0,0.0007659576
-165.0,64.0,0.0007954261
-165.0,62.0,0.000852864
-165.0,61.0,0.0008814375
-165.0,60.0,0.0009096977
-164.0,68.0,0.0001588777
-164.0,67.0,0.0001658936
-164.0,65.0,0.0007659576
-164.0,62.0,0.000852864
-164.0,61.0,0.0008814375
-164.0,60.0,0.0009096977
-163.0,69.0,0.0001518142
-163.0,68.0,0.0001588777
-163.0,67.0,0.0001658936
-163.0,65.0,0.0007659576
-163.0,61.0,0.0008814375
-163.0,60.0,0.0009096977
-163.0,55.0,0.009996472
-162.0,69.0,0.0001518142
-162.0,68.0,0.0001588777
-162.0,65.0,0.0007659576
-162.0,60.0,0.0009096977
-162.0,59.0,0.0009376224
-162.0,55.0,0.0010463001
-161.0,69.0,0.0001518142
-161.0,68.0,0.0001588777
-161.0,67.0,0.0001658936
-161.0,66.0,0.0001728571
-161.0,63.0,0.0008243129
-161.0,60.0,0.0009096977
-161.0,59.0,0.0009376224
-161.0,55.0,0.0010463001
-160.0,70.0,0.0001447056
-160.0,69.0,0.0001518142
-160.0,68.0,0.0001588777
-160.0,66.0,0.0001728571
-160.0,60.0,0.0009096977
-160.0,59.0,0.0009376224
-160.0,56.0,0.0010196061
-159.0,70.0,0.0001447056
-159.0,69.0,0.0001518142
-159.0,68.0,0.0001588777
-159.0,66.0,0.0001728571
-159.0,60.0,0.0009096977
-159.0,59.0,0.0009376224
-159.0,56.0,0.0010196061
-159.0,-20.0,0.0022627834
-158.0,70.0,0.0001447056
-158.0,69.0,0.0001518142
-158.0,68.0,0.0001588777
-158.0,67.0,0.0001658936
-158.0,59.0,0.0009376224
-158.0,57.0,0.0099427708
-158.0,21.0,0.2931859895
-157.0,70.0,0.0001447056
-157.0,69.0,0.0001518142
-157.0,68.0,0.0001588777
-157.0,67.0,0.0001658936
-157.0,59.0,0.0009376224
-157.0,58.0,0.0009652561
-157.0,57.0,0.0009925989
-156.0,70.0,0.0001447056
-156.0,69.0,0.0001518142
-156.0,68.0,0.0001588777
-156.0,67.0,0.0001658936
-156.0,58.0,0.0009652561
-156.0,19.0,0.0753494482
-155.0,70.0,0.0001447056
-155.0,69.0,0.0001518142
-155.0,68.0,0.0001588777
-155.0,67.0,0.0001658936
-155.0,60.0,0.0009096977
-155.0,59.0,0.0009376224
-155.0,58.0,0.0009652561
-154.0,70.0,0.0001447056
-154.0,69.0,0.0001518142
-154.0,68.0,0.0001588777
-154.0,67.0,0.0001658936
-154.0,60.0,0.0009096977
-154.0,57.0,0.0009925989
-153.0,70.0,0.0001447056
-153.0,69.0,0.0001518142
-153.0,68.0,0.0001588777
-153.0,60.0,0.0009096977
-152.0,70.0,0.0001447056
-152.0,69.0,0.0001518142
-152.0,68.0,0.0001588777
-152.0,62.0,0.0001196918
-152.0,61.0,0.0006026589
-152.0,59.0,0.0009376224
-151.0,70.0,0.0085122952
-151.0,69.0,0.0001518142
-151.0,68.0,0.0001588777
-151.0,61.0,0.000144597
-151.0,60.0,0.0009096977
-151.0,59.0,0.0009376224
-150.0,70.0,0.0001447056
-150.0,69.0,9.28e-07
-150.0,68.0,0.0001588777
-150.0,61.0,0.1121190839
-150.0,60.0,0.0009096977
-149.0,70.0,1.2372e-06
-149.0,69.0,0.0001518142
-149.0,60.0,0.0009096977
-148.0,69.0,0.0001518142
-147.0,69.0,0.0001518142
-146.0,69.0,0.0001518142
-146.0,60.0,0.0009096977
-145.0,69.0,0.0001518142
-145.0,64.0,0.0072011518
-145.0,60.0,0.0009096977
-144.0,69.0,0.0001518142
-144.0,60.0,0.0009096977
-143.0,69.0,0.0001518142
-143.0,62.0,0.000852864
-143.0,60.0,0.0009096977
-142.0,69.0,0.0001518142
-142.0,60.0,0.0009096977
-141.0,69.0,0.0013047881
-141.0,68.0,0.0013654815
-141.0,60.0,0.0009096977
-140.0,69.0,0.0013047881
-140.0,68.0,0.0013654815
-140.0,67.0,0.0014257705
-140.0,63.0,0.0002286998
-140.0,62.0,0.0002366655
-140.0,61.0,0.0002445864
-140.0,60.0,0.0009096977
-139.0,68.0,0.0013654815
-139.0,67.0,0.0014257705
-139.0,63.0,0.0002286998
-139.0,61.0,0.0002445864
-139.0,59.0,0.0009376224
-138.0,68.0,0.0013654815
-138.0,67.0,0.0014257705
-138.0,63.0,0.0002286998
-138.0,61.0,0.0002445864
-138.0,60.0,0.0002523283
-137.0,68.0,0.0013654815
-137.0,67.0,0.0014257705
-137.0,63.0,0.0002286998
-137.0,62.0,0.0002366655
-137.0,60.0,0.0002523283
-137.0,58.0,0.0009652561
-136.0,68.0,0.0100163178
-136.0,67.0,0.0014302654
-136.0,63.0,0.0002286998
-136.0,61.0,0.0002445864
-136.0,60.0,0.0002523283
-136.0,58.0,0.0089501943
-136.0,57.0,0.0009925989
-135.0,69.0,0.0013088787
-135.0,68.0,0.0013697861
-135.0,67.0,0.0014302654
-135.0,62.0,0.0002366655
-135.0,60.0,0.0002523283
-135.0,58.0,0.0009652561
-135.0,57.0,0.0009925989
-134.0,69.0,0.0013088787
-134.0,68.0,0.0013697861
-134.0,62.0,0.0002366655
-134.0,60.0,0.0002523283
-133.0,69.0,0.0013088787
-133.0,68.0,0.0013697861
-133.0,66.0,0.0014903166
-133.0,61.0,0.0002445864
-133.0,56.0,0.0010196061
-132.0,69.0,0.0013088787
-132.0,62.0,0.0002366655
-132.0,61.0,0.0002445864
-132.0,59.0,0.0017680214
-131.0,69.0,0.0013088787
-131.0,68.0,0.0013697861
-131.0,61.0,0.0002445864
-131.0,58.0,0.0018199549
-131.0,55.0,0.0011337908
-130.0,69.0,0.0013088787
-130.0,68.0,0.0013697861
-130.0,61.0,0.0002445864
-129.0,68.0,0.0013697861
-129.0,56.0,0.0019225689
-129.0,55.0,0.0019729584
-129.0,54.0,0.0010320245
-128.0,59.0,0.0017680214
-128.0,55.0,0.0019729584
-128.0,54.0,0.0020228782
-128.0,50.0,0.0022157101
-127.0,65.0,9.258e-07
-127.0,59.0,0.0017680214
-127.0,56.0,0.0019225689
-127.0,55.0,0.0019729584
-127.0,54.0,0.0020228782
-127.0,53.0,0.0020720147
-127.0,50.0,0.0111658149
-126.0,58.0,0.0018199549
-126.0,57.0,0.0018716422
-126.0,56.0,0.0019225689
-126.0,55.0,0.0019729584
-126.0,54.0,0.0020228782
-126.0,53.0,0.0020720147
-126.0,52.0,0.0021204353
-126.0,50.0,0.0111658149
-126.0,49.0,0.0022623854
-125.0,56.0,0.0019225689
-125.0,55.0,0.0019729584
-125.0,54.0,0.0020228782
-125.0,53.0,0.0020720147
-125.0,52.0,0.0021204353
-125.0,51.0,0.0021683188
-125.0,49.0,0.0022623854
-125.0,48.0,0.0023082551
-125.0,42.0,0.0228968345
-124.0,58.0,0.0018199549
-124.0,55.0,0.0019729584
-124.0,54.0,0.0020228782
-124.0,53.0,0.0020720147
-124.0,52.0,0.0088331705
-124.0,51.0,0.0021683188
-124.0,49.0,0.3353190291
-124.0,48.0,0.0537302539
-124.0,47.0,0.0190001437
-124.0,46.0,0.0305828139
-124.0,45.0,0.0247204366
-124.0,44.0,0.230557005
-124.0,43.0,0.0227760069
-124.0,42.0,0.0162114869
-124.0,41.0,0.0155876584
-124.0,40.0,0.02925371
-124.0,39.0,0.0362147236
-123.0,61.0,0.0015691481
-123.0,59.0,0.0017680214
-123.0,58.0,0.0018199549
-123.0,57.0,0.0018716422
-123.0,56.0,0.0019225689
-123.0,55.0,0.0019729584
-123.0,54.0,0.0020228782
-123.0,53.0,0.0443661131
-123.0,52.0,0.0155458162
-123.0,51.0,0.0200687969
-123.0,50.0,0.0022157101
-123.0,49.0,0.1123361261
-123.0,48.0,0.0224537999
-123.0,47.0,0.8927147542
-123.0,46.0,0.033100056
-123.0,45.0,0.413118593
-123.0,44.0,0.0227424437
-123.0,43.0,0.0093254312
-123.0,42.0,0.0229214476
-123.0,41.0,0.0155928047
-123.0,40.0,0.0159342546
-123.0,39.0,0.0295266909
-123.0,38.0,0.2149568163
-123.0,37.0,1.195723582
-122.0,61.0,0.0015691481
-122.0,57.0,0.0018716422
-122.0,56.0,0.0019225689
-122.0,55.0,0.0019729584
-122.0,54.0,0.0020228782
-122.0,53.0,0.0020720147
-122.0,52.0,0.0021204353
-122.0,51.0,0.008881054
-122.0,50.0,0.0156592599
-122.0,49.0,0.0022623854
-122.0,48.0,0.0320349829
-122.0,47.0,0.0189764257
-122.0,46.0,0.0260450654
-122.0,45.0,0.0201889533
-122.0,44.0,0.0091837944
-122.0,43.0,0.0093142434
-122.0,42.0,0.0094825071
-122.0,41.0,0.0155874346
-122.0,40.0,0.0158288661
-122.0,39.0,0.0295378787
-122.0,38.0,0.2961843046
-122.0,37.0,0.6385963628
-122.0,36.0,0.1000698848
-121.0,61.0,0.0015691481
-121.0,56.0,4.6022e-06
-121.0,55.0,0.0019729584
-121.0,54.0,0.0020228782
-121.0,53.0,0.0020720147
-121.0,52.0,0.0021204353
-121.0,51.0,0.0111186026
-121.0,50.0,0.0534841235
-121.0,48.0,0.0186099152
-121.0,47.0,0.0198841991
-121.0,46.0,0.0372328082
-121.0,45.0,0.0343553208
-121.0,44.0,0.0091611951
-121.0,43.0,0.0093113346
-121.0,42.0,0.0228923594
-121.0,41.0,0.0155863158
-121.0,40.0,0.0158266286
-121.0,39.0,0.0294886526
-121.0,38.0,0.016309044
-121.0,37.0,0.104822438
-121.0,36.0,0.0597000335
-121.0,35.0,0.0178308008
-120.0,61.0,0.0015691481
-120.0,59.0,0.001487209
-120.0,58.0,0.0015310874
-120.0,57.0,0.0015744287
-120.0,56.0,0.0016175462
-120.0,55.0,0.0016598807
-120.0,54.0,0.0017017228
-120.0,53.0,0.0017430727
-120.0,52.0,0.0021204353
-120.0,51.0,0.0021683188
-120.0,50.0,0.0022157101
-120.0,49.0,0.0393249162
-120.0,48.0,0.0186099152
-120.0,47.0,0.0189764257
-120.0,46.0,0.030701404
-120.0,45.0,0.0338675352
-120.0,44.0,0.00915672
-120.0,43.0,0.0093129009
-120.0,42.0,0.0094663967
-120.0,41.0,0.0014341791
-120.0,40.0,0.001456935
-120.0,39.0,0.0964271557
-120.0,38.0,0.0162976325
-120.0,37.0,0.0165218349
-120.0,36.0,0.2081591437
-120.0,35.0,0.1237677618
-120.0,34.0,0.1828412816
-119.0,61.0,0.0015691481
-119.0,59.0,0.0059623957
-119.0,58.0,0.0015310874
-119.0,57.0,0.0015744287
-119.0,56.0,0.0016175462
-119.0,54.0,0.0017017228
-119.0,53.0,0.0017430727
-119.0,50.0,0.0022157101
-119.0,49.0,0.0156876768
-119.0,48.0,0.0186099152
-119.0,47.0,0.0301643923
-119.0,46.0,0.0551488597
-119.0,45.0,0.0202115525
-119.0,44.0,0.0091587338
-119.0,43.0,0.0093117821
-119.0,42.0,0.0094663967
-119.0,41.0,0.0014341568
-119.0,40.0,0.001458367
-119.0,39.0,0.0014921987
-119.0,38.0,0.0014986653
-119.0,37.0,0.0165178073
-119.0,36.0,0.0167366396
-119.0,35.0,0.0188146509
-119.0,34.0,2.2814045251
-119.0,33.0,0.8510515998
-118.0,61.0,0.0015691481
-118.0,59.0,0.001487209
-118.0,58.0,0.0015310874
-118.0,57.0,0.0015744287
-118.0,56.0,0.0016175462
-118.0,55.0,0.0016598807
-118.0,54.0,0.0017017228
-118.0,53.0,0.0017430727
-118.0,52.0,0.001783908
-118.0,51.0,0.0021683188
-118.0,50.0,0.0022157101
-118.0,49.0,0.0156876768
-118.0,48.0,0.0186099152
-118.0,47.0,0.2158831614
-118.0,46.0,0.0551488597
-118.0,45.0,0.0089996441
-118.0,44.0,0.0091696978
-118.0,43.0,0.0093202848
-118.0,42.0,0.0094672918
-118.0,41.0,0.0148595601
-118.0,40.0,0.0018266899
-118.0,39.0,0.0014778784
-118.0,38.0,0.0015017978
-118.0,37.0,0.0015239272
-118.0,36.0,0.0167285844
-118.0,35.0,0.0171570749
-118.0,34.0,0.3262345819
-118.0,33.0,0.9348925448
-118.0,32.0,0.3117550145
-117.0,61.0,0.0015691481
-117.0,60.0,0.0016192915
-117.0,59.0,0.001487209
-117.0,58.0,0.0015310874
-117.0,57.0,0.0015744287
-117.0,56.0,0.0016175462
-117.0,55.0,0.0016598807
-117.0,54.0,0.0017017228
-117.0,53.0,0.0017430727
-117.0,52.0,0.001783908
-117.0,50.0,0.0022157101
-117.0,49.0,0.0022623854
-117.0,48.0,0.0051336077
-117.0,47.0,0.0052593579
-117.0,46.0,0.0166547453
-117.0,45.0,0.0054231465
-117.0,44.0,0.005530325
-117.0,43.0,0.1744997006
-117.0,42.0,0.0057006025
-117.0,41.0,0.0148595601
-117.0,40.0,0.0014614325
-117.0,39.0,0.0014780351
-117.0,38.0,0.0014991128
-117.0,37.0,0.0015257396
-117.0,36.0,0.0167355208
-117.0,35.0,0.0169427178
-117.0,34.0,0.017607046
-117.0,33.0,0.0597313591
-117.0,32.0,0.0241782408
-117.0,31.0,0.130091726
-116.0,62.0,0.0089501943
-116.0,58.0,0.0015310874
-116.0,57.0,0.0015744287
-116.0,56.0,0.0016175462
-116.0,55.0,0.0016598807
-116.0,54.0,0.0017017228
-116.0,53.0,0.0017430727
-116.0,52.0,0.001783908
-116.0,51.0,0.0018242286
-116.0,50.0,0.0022157101
-116.0,49.0,0.0022623854
-116.0,48.0,0.002684387
-116.0,47.0,0.0027226491
-116.0,46.0,0.0053244706
-116.0,45.0,0.0054211327
-116.0,44.0,0.0055142147
-116.0,43.0,0.0056122193
-116.0,42.0,0.0057006025
-116.0,41.0,0.0148593363
-116.0,40.0,0.001457472
-116.0,39.0,0.0014776547
-116.0,38.0,0.0014997169
-116.0,37.0,0.0015193626
-116.0,36.0,0.1561719402
-116.0,35.0,0.0169438366
-116.0,34.0,0.0171512573
