long,lat,deg
-170.0,-20.0,1.72732e-05
-167.0,65.0,0.0001028769
-166.0,68.0,4.32533e-05
-166.0,65.0,0.0001028769
-166.0,64.0,0.0001068429
-166.0,61.0,0.0001183894
-165.0,68.0,4.32533e-05
-165.0,66.0,4.70591e-05
-165.0,65.0,0.0001028769
-165.0,64.0,0.0001068429
-165.0,62.0,0.0001145545
-165.0,61.0,0.0001183894
-165.0,60.0,0.0001221887
-164.0,68.0,4.32533e-05
-164.0,67.0,4.51633e-05
-164.0,65.0,0.0001028769
-164.0,62.0,0.0001145545
-164.0,61.0,0.0001183894
-164.0,60.0,0.0001221887
-163.0,69.0,4.13303e-05
-163.0,68.0,4.32533e-05
-163.0,67.0,4.51633e-05
-163.0,65.0,0.0001028769
-163.0,61.0,0.0001183894
-163.0,60.0,0.0001221887
-163.0,55.0,0.0005110677
-162.0,69.0,4.13303e-05
-162.0,68.0,4.32533e-05
-162.0,65.0,0.0001028769
-162.0,60.0,0.0001221887
-162.0,59.0,0.0001259402
-162.0,55.0,0.0001405357
-161.0,69.0,4.13303e-05
-161.0,68.0,4.32533e-05
-161.0,67.0,4.51633e-05
-161.0,66.0,4.70591e-05
-161.0,63.0,0.0001107195
-161.0,60.0,0.0001221887
-161.0,59.0,0.0001259402
-161.0,55.0,0.0001405357
-160.0,70.0,3.9395e-05
-160.0,69.0,4.13303e-05
-160.0,68.0,4.32533e-05
-160.0,66.0,4.70591e-05
-160.0,60.0,0.0001221887
-160.0,59.0,0.0001259402
-160.0,56.0,0.0001369509
-159.0,70.0,3.9395e-05
-159.0,69.0,4.13303e-05
-159.0,68.0,4.32533e-05
-159.0,66.0,4.70591e-05
-159.0,60.0,0.0001221887
-159.0,59.0,0.0001259402
-159.0,56.0,0.0001369509
-159.0,-20.0,0.0006002611
-158.0,70.0,3.9395e-05
-158.0,69.0,4.13303e-05
-158.0,68.0,4.32533e-05
-158.0,67.0,4.51633e-05
-158.0,59.0,0.0001259402
-158.0,57.0,0.0005038444
-158.0,21.0,0.0383418354
-157.0,70.0,3.9395e-05
-157.0,69.0,4.13303e-05
-157.0,68.0,4.32533e-05
-157.0,67.0,4.51633e-05
-157.0,59.0,0.0001259402
-157.0,58.0,0.0001296502
-157.0,57.0,0.0001333184
-156.0,70.0,3.9395e-05
-156.0,69.0,4.13303e-05
-156.0,68.0,4.32533e-05
-156.0,67.0,4.51633e-05
-156.0,58.0,0.0001296502
-156.0,19.0,0.0072101968
-155.0,70.0,3.9395e-05
-155.0,69.0,4.13303e-05
-155.0,68.0,4.32533e-05
-155.0,67.0,4.51633e-05
-155.0,60.0,0.0001221887
-155.0,59.0,0.0001259402
-155.0,58.0,0.0001296502
-154.0,70.0,3.9395e-05
