long,lat,deg
-170.0,-20.0,8.0563e-06
-167.0,65.0,0.0001432316
-166.0,68.0,6.02199e-05
-166.0,65.0,0.0001432316
-166.0,64.0,0.0001487532
-166.0,61.0,0.0001648291
-165.0,68.0,6.02199e-05
-165.0,66.0,6.55186e-05
-165.0,65.0,0.0001432316
-165.0,64.0,0.0001487532
-165.0,62.0,0.0001594898
-165.0,61.0,0.0001648291
-165.0,60.0,0.0001701186
-164.0,68.0,6.02199e-05
-164.0,67.0,6.28792e-05
-164.0,65.0,0.0001432316
-164.0,62.0,0.0001594898
-164.0,61.0,0.0001648291
-164.0,60.0,0.0001701186
-163.0,69.0,5.75426e-05
-163.0,68.0,6.02199e-05
-163.0,67.0,6.28792e-05
-163.0,65.0,0.0001432316
-163.0,61.0,0.0001648291
-163.0,60.0,0.0001701186
-163.0,55.0,0.00071154
-162.0,69.0,5.75426e-05
-162.0,68.0,6.02199e-05
-162.0,65.0,0.0001432316
-162.0,60.0,0.0001701186
-162.0,59.0,0.0001753418
-162.0,55.0,0.0001956625
-161.0,69.0,5.75426e-05
-161.0,68.0,6.02199e-05
-161.0,67.0,6.28792e-05
-161.0,66.0,6.55186e-05
-161.0,63.0,0.0001541506
-161.0,60.0,0.0001701186
-161.0,59.0,0.0001753418
-161.0,55.0,0.0001956625
-160.0,70.0,5.48482e-05
-160.0,69.0,5.75426e-05
-160.0,68.0,6.02199e-05
-160.0,66.0,6.55186e-05
-160.0,60.0,0.0001701186
-160.0,59.0,0.0001753418
-160.0,56.0,0.0001906715
-159.0,70.0,5.48482e-05
-159.0,69.0,5.75426e-05
-159.0,68.0,6.02199e-05
-159.0,66.0,6.55186e-05
-159.0,60.0,0.0001701186
-159.0,59.0,0.0001753418
-159.0,56.0,0.0001906715
-159.0,-20.0,0.0002817816
-158.0,70.0,5.48482e-05
-158.0,69.0,5.75426e-05
-158.0,68.0,6.02199e-05
-158.0,67.0,6.28792e-05
-158.0,59.0,0.0001753418
-158.0,57.0,0.0007014833
-158.0,21.0,0.053381875
-157.0,70.0,5.48482e-05
-157.0,69.0,5.75426e-05
-157.0,68.0,6.02199e-05
-157.0,67.0,6.28792e-05
-157.0,59.0,0.0001753418
-157.0,58.0,0.000180507
-157.0,57.0,0.0001856141
-156.0,70.0,5.48482e-05
-156.0,69.0,5.75426e-05
-156.0,68.0,6.02199e-05
-156.0,67.0,6.28792e-05
-156.0,58.0,0.000180507
-156.0,19.0,0.010038482
-155.0,70.0,5.48482e-05
-155.0,69.0,5.75426e-05
-155.0,68.0,6.02199e-05
-155.0,67.0,6.28792e-05
-155.0,60.0,0.0001701186
-155.0,59.0,0.0001753418
-155.0,58.0,0.000180507
-154.0,70.0,5.48482e-05
-154.0,69.0,5.75426e-05
-154.0,68.0,6.02199e-05
-154.0,67.0,6.28792e-05
-154.0,60.0,0.0001701186
-154.0,57.0,0.0001856141
-153.0,70.0,5.48482e-05
-153.0,69.0,5.75426e-05
-153.0,68.0,6.02199e-05
-153.0,60.0,0.0001701186
-152.0,70.0,5.48482e-05
-152.0,69.0,5.75426e-05
-152.0,68.0,6.02199e-05
-152.0,62.0,4.53672e-05
-152.0,61.0,0.0002284277
-152.0,59.0,0.0001753418
-151.0,70.0,0.0032264417
-151.0,69.0,5.75426e-05
-151.0,68.0,6.02199e-05
-151.0,61.0,5.48071e-05
-151.0,60.0,0.0001701186
-151.0,59.0,0.0001753418
