long,lat,deg
-170.0,-20.0,7.7994e-06
-167.0,65.0,5.91003e-05
-166.0,68.0,2.4848e-05
-166.0,65.0,5.91003e-05
-166.0,64.0,6.13787e-05
-166.0,61.0,6.80119e-05
-165.0,68.0,2.4848e-05
-165.0,66.0,2.70343e-05
-165.0,65.0,5.91003e-05
-165.0,64.0,6.13787e-05
-165.0,62.0,6.58088e-05
-165.0,61.0,6.80119e-05
-165.0,60.0,7.01945e-05
-164.0,68.0,2.4848e-05
-164.0,67.0,2.59452e-05
-164.0,65.0,5.91003e-05
-164.0,62.0,6.58088e-05
-164.0,61.0,6.80119e-05
-164.0,60.0,7.01945e-05
-163.0,69.0,2.37433e-05
-163.0,68.0,2.4848e-05
-163.0,67.0,2.59452e-05
-163.0,65.0,5.91003e-05
-163.0,61.0,6.80119e-05
-163.0,60.0,7.01945e-05
-163.0,55.0,0.0002935962
-162.0,69.0,2.37433e-05
-162.0,68.0,2.4848e-05
-162.0,65.0,5.91003e-05
-162.0,60.0,7.01945e-05
-162.0,59.0,7.23497e-05
-162.0,55.0,8.07344e-05
-161.0,69.0,2.37433e-05
-161.0,68.0,2.4848e-05
-161.0,67.0,2.59452e-05
-161.0,66.0,2.70343e-05
-161.0,63.0,6.36057e-05
-161.0,60.0,7.01945e-05
-161.0,59.0,7.23497e-05
-161.0,55.0,8.07344e-05
-160.0,70.0,2.26315e-05
-160.0,69.0,2.37433e-05
-160.0,68.0,2.4848e-05
-160.0,66.0,2.70343e-05
-160.0,60.0,7.01945e-05
-160.0,59.0,7.23497e-05
-160.0,56.0,7.8675e-05
-159.0,70.0,2.26315e-05
-159.0,69.0,2.37433e-05
-159.0,68.0,2.4848e-05
-159.0,66.0,2.70343e-05
-159.0,60.0,7.01945e-05
-159.0,59.0,7.23497e-05
-159.0,56.0,7.8675e-05
-159.0,-20.0,0.0003589684
-158.0,70.0,2.26315e-05
-158.0,69.0,2.37433e-05
-158.0,68.0,2.4848e-05
-158.0,67.0,2.59452e-05
-158.0,59.0,7.23497e-05
-158.0,57.0,0.0002894466
-158.0,21.0,0.0220264728
-157.0,70.0,2.26315e-05
-157.0,69.0,2.37433e-05
-157.0,68.0,2.4848e-05
-157.0,67.0,2.59452e-05
-157.0,59.0,7.23497e-05
-157.0,58.0,7.44809e-05
-157.0,57.0,7.65882e-05
-156.0,70.0,2.26315e-05
-156.0,69.0,2.37433e-05
-156.0,68.0,2.4848e-05
-156.0,67.0,2.59452e-05
-156.0,58.0,7.44809e-05
-156.0,19.0,0.0041420866
-155.0,70.0,2.26315e-05
-155.0,69.0,2.37433e-05
-155.0,68.0,2.4848e-05
-155.0,67.0,2.59452e-05
-155.0,60.0,7.01945e-05
-155.0,59.0,7.23497e-05
-155.0,58.0,7.44809e-05
-154.0,70.0,2.26315e-05
-154.0,69.0,2.37433e-05
-154.0,68.0,2.4848e-05
