long,lat,deg
-170.0,-20.0,2.09337e-05
-167.0,65.0,0.0002431247
-166.0,68.0,0.0001022187
-166.0,65.0,0.0002431247
-166.0,64.0,0.0002524973
-166.0,61.0,0.0002797847
-165.0,68.0,0.0001022187
-165.0,66.0,0.0001112128
-165.0,65.0,0.0002431247
-165.0,64.0,0.0002524973
-165.0,62.0,0.0002707218
-165.0,61.0,0.0002797847
-165.0,60.0,0.0002887633
-164.0,68.0,0.0001022187
-164.0,67.0,0.0001067325
-164.0,65.0,0.0002431247
-164.0,62.0,0.0002707218
-164.0,61.0,0.0002797847
-164.0,60.0,0.0002887633
-163.0,69.0,9.76742e-05
-163.0,68.0,0.0001022187
-163.0,67.0,0.0001067325
-163.0,65.0,0.0002431247
-163.0,61.0,0.0002797847
-163.0,60.0,0.0002887633
-163.0,55.0,0.0012077847
-162.0,69.0,9.76742e-05
-162.0,68.0,0.0001022187
-162.0,65.0,0.0002431247
-162.0,60.0,0.0002887633
-162.0,59.0,0.0002976293
-162.0,55.0,0.0003321221
-161.0,69.0,9.76742e-05
-161.0,68.0,0.0001022187
-161.0,67.0,0.0001067325
-161.0,66.0,0.0001112128
-161.0,63.0,0.0002616588
-161.0,60.0,0.0002887633
-161.0,59.0,0.0002976293
-161.0,55.0,0.0003321221
-160.0,70.0,9.31006e-05
-160.0,69.0,9.76742e-05
-160.0,68.0,0.0001022187
-160.0,66.0,0.0001112128
-160.0,60.0,0.0002887633
-160.0,59.0,0.0002976293
-160.0,56.0,0.0003236502
-159.0,70.0,9.31006e-05
-159.0,69.0,9.76742e-05
-159.0,68.0,0.0001022187
-159.0,66.0,0.0001112128
-159.0,60.0,0.0002887633
-159.0,59.0,0.0002976293
-159.0,56.0,0.0003236502
-159.0,-20.0,0.0004673059
-158.0,70.0,9.31006e-05
-158.0,69.0,9.76742e-05
-158.0,68.0,0.0001022187
-158.0,67.0,0.0001067325
-158.0,59.0,0.0002976293
-158.0,57.0,0.0011907142
-158.0,21.0,0.0906116469
-157.0,70.0,9.31006e-05
-157.0,69.0,9.76742e-05
-157.0,68.0,0.0001022187
-157.0,67.0,0.0001067325
-157.0,59.0,0.0002976293
-157.0,58.0,0.0003063967
-157.0,57.0,0.0003150657
-156.0,70.0,9.31006e-05
-156.0,69.0,9.76742e-05
-156.0,68.0,0.0001022187
-156.0,67.0,0.0001067325
-156.0,58.0,0.0003063967
-156.0,19.0,0.0170395549
-155.0,70.0,9.31006e-05
-155.0,69.0,9.76742e-05
-155.0,68.0,0.0001022187
-155.0,67.0,0.0001067325
-155.0,60.0,0.0002887633
-155.0,59.0,0.0002976293
-155.0,58.0,0.0003063967
-154.0,70.0,9.31006e-05
-154.0,69.0,9.76742e-05
-154.0,68.0,0.0001022187
-154.0,67.0,0.0001067325
-154.0,60.0,0.0002887633
-154.0,57.0,0.0003150657
-153.0,70.0,9.31006e-05
-153.0,69.0,9.76742e-05
-153.0,68.0,0.0001022187
-153.0,60.0,0.0002887633
