long,lat,deg
-170.0,-20.0,7.3919e-06
-167.0,65.0,0.000120506
-166.0,68.0,5.06652e-05
-166.0,65.0,0.000120506
-166.0,64.0,0.0001251516
-166.0,61.0,0.0001386768
-165.0,68.0,5.06652e-05
-165.0,66.0,5.51232e-05
-165.0,65.0,0.000120506
-165.0,64.0,0.0001251516
-165.0,62.0,0.0001341846
-165.0,61.0,0.0001386768
-165.0,60.0,0.000143127
-164.0,68.0,5.06652e-05
-164.0,67.0,5.29025e-05
-164.0,65.0,0.000120506
-164.0,62.0,0.0001341846
-164.0,61.0,0.0001386768
-164.0,60.0,0.000143127
-163.0,69.0,4.84127e-05
-163.0,68.0,5.06652e-05
-163.0,67.0,5.29025e-05
-163.0,65.0,0.000120506
-163.0,61.0,0.0001386768
-163.0,60.0,0.000143127
-163.0,55.0,0.0005986447
-162.0,69.0,4.84127e-05
-162.0,68.0,5.06652e-05
-162.0,65.0,0.000120506
-162.0,60.0,0.000143127
-162.0,59.0,0.0001475215
-162.0,55.0,0.0001646181
-161.0,69.0,4.84127e-05
-161.0,68.0,5.06652e-05
-161.0,67.0,5.29025e-05
-161.0,66.0,5.51232e-05
-161.0,63.0,0.0001296925
-161.0,60.0,0.000143127
-161.0,59.0,0.0001475215
-161.0,55.0,0.0001646181
-160.0,70.0,4.61458e-05
-160.0,69.0,4.84127e-05
-160.0,68.0,5.06652e-05
-160.0,66.0,5.51232e-05
-160.0,60.0,0.000143127
-160.0,59.0,0.0001475215
-160.0,56.0,0.0001604189
-159.0,70.0,4.61458e-05
-159.0,69.0,4.84127e-05
-159.0,68.0,5.06652e-05
-159.0,66.0,5.51232e-05
-159.0,60.0,0.000143127
-159.0,59.0,0.0001475215
-159.0,56.0,0.0001604189
-159.0,-20.0,0.0002291282
-158.0,70.0,4.61458e-05
-158.0,69.0,4.84127e-05
-158.0,68.0,5.06652e-05
-158.0,67.0,5.29025e-05
-158.0,59.0,0.0001475215
-158.0,57.0,0.0005901836
-158.0,21.0,0.0449121318
-157.0,70.0,4.61458e-05
-157.0,69.0,4.84127e-05
-157.0,68.0,5.06652e-05
-157.0,67.0,5.29025e-05
-157.0,59.0,0.0001475215
-157.0,58.0,0.0001518671
-157.0,57.0,0.0001561639
-156.0,70.0,4.61458e-05
-156.0,69.0,4.84127e-05
-156.0,68.0,5.06652e-05
-156.0,67.0,5.29025e-05
-156.0,58.0,0.0001518671
-156.0,19.0,0.0084457436
-155.0,70.0,4.61458e-05
-155.0,69.0,4.84127e-05
-155.0,68.0,5.06652e-05
-155.0,67.0,5.29025e-05
-155.0,60.0,0.000143127
-155.0,59.0,0.0001475215
-155.0,58.0,0.0001518671
-154.0,70.0,4.61458e-05
-154.0,69.0,4.84127e-05
-154.0,68.0,5.06652e-05
-154.0,67.0,5.29025e-05
-154.0,60.0,0.000143127
-154.0,57.0,0.0001561639
-153.0,70.0,4.61458e-05
-153.0,69.0,4.84127e-05
-153.0,68.0,5.06652e-05
-153.0,60.0,0.000143127
-152.0,70.0,4.61458e-05
-152.0,69.0,4.84127e-05
-152.0,68.0,5.06652e-05
-152.0,62.0,3.81691e-05
-152.0,61.0,0.0001921846
-152.0,59.0,0.0001475215
-151.0,70.0,0.0027145239
-151.0,69.0,4.84127e-05
-151.0,68.0,5.06652e-05
-151.0,61.0,4.61112e-05
-151.0,60.0,0.000143127
-151.0,59.0,0.0001475215
-150.0,70.0,4.61458e-05
-150.0,69.0,0.0002706991
-150.0,68.0,5.06652e-05
-150.0,61.0,0.016909623
-150.0,60.0,0.000143127
-149.0,70.0,0.0125214356
-149.0,69.0,4.84127e-05
-149.0,60.0,0.000143127
-148.0,69.0,4.84127e-05
-147.0,69.0,4.84127e-05
-146.0,69.0,4.84127e-05
-146.0,60.0,0.000143127
-145.0,69.0,4.84127e-05
-145.0,64.0,0.0022964075
-145.0,60.0,0.000143127
-144.0,69.0,4.84127e-05
-144.0,60.0,0.000143127
-143.0,69.0,4.84127e-05
-143.0,62.0,0.0001341846
-143.0,60.0,0.000143127
-142.0,69.0,4.84127e-05
-142.0,60.0,0.000143127
-141.0,69.0,0.0004160897
-141.0,68.0,0.0004354445
-141.0,60.0,0.000143127
-140.0,69.0,0.0004160897
-140.0,68.0,0.0004354445
-140.0,67.0,0.0004546703
-140.0,63.0,4.67857e-05
-140.0,62.0,4.84144e-05
-140.0,61.0,5.00341e-05
-140.0,60.0,0.000143127
-139.0,68.0,0.0004354445
-139.0,67.0,0.0004546703
-139.0,63.0,4.67857e-05
-139.0,61.0,5.00341e-05
-139.0,59.0,0.0001475215
-138.0,68.0,0.0004354445
-138.0,67.0,0.0004546703
-138.0,63.0,4.67857e-05
-138.0,61.0,5.00341e-05
-138.0,60.0,5.16168e-05
-137.0,68.0,0.0004354445
-137.0,67.0,0.0004546703
-137.0,63.0,4.67857e-05
-137.0,62.0,4.84144e-05
-137.0,60.0,5.16168e-05
-137.0,58.0,0.0001518671
-136.0,68.0,0.0031941484
-136.0,67.0,0.0004561037
-136.0,63.0,4.67857e-05
-136.0,61.0,5.00341e-05
-136.0,60.0,5.16168e-05
-136.0,58.0,0.0004340197
-136.0,57.0,0.0001561639
-135.0,69.0,0.0004173942
-135.0,68.0,0.0004368172
-135.0,67.0,0.0004561037
-135.0,62.0,4.84144e-05
-135.0,60.0,5.16168e-05
-135.0,58.0,0.0001518671
-135.0,57.0,0.0001561639
-134.0,69.0,0.0004173942
-134.0,68.0,0.0004368172
-134.0,62.0,4.84144e-05
-134.0,60.0,5.16168e-05
-133.0,69.0,0.0004173942
-133.0,68.0,0.0004368172
-133.0,66.0,0.0004752537
