long,lat,deg
-170.0,-20.0,1.14742e-05
-167.0,65.0,0.0001501702
-166.0,68.0,6.31371e-05
-166.0,65.0,0.0001501702
-166.0,64.0,0.0001559593
-166.0,61.0,0.0001728139
-165.0,68.0,6.31371e-05
-165.0,66.0,6.86925e-05
-165.0,65.0,0.0001501702
-165.0,64.0,0.0001559593
-165.0,62.0,0.000167216
-165.0,61.0,0.0001728139
-165.0,60.0,0.0001783597
-164.0,68.0,6.31371e-05
-164.0,67.0,6.59252e-05
-164.0,65.0,0.0001501702
-164.0,62.0,0.000167216
-164.0,61.0,0.0001728139
-164.0,60.0,0.0001783597
-163.0,69.0,6.03302e-05
-163.0,68.0,6.31371e-05
-163.0,67.0,6.59252e-05
-163.0,65.0,0.0001501702
-163.0,61.0,0.0001728139
-163.0,60.0,0.0001783597
-163.0,55.0,0.0007460093
-162.0,69.0,6.03302e-05
-162.0,68.0,6.31371e-05
-162.0,65.0,0.0001501702
-162.0,60.0,0.0001783597
-162.0,59.0,0.0001838359
-162.0,55.0,0.000205141
-161.0,69.0,6.03302e-05
-161.0,68.0,6.31371e-05
-161.0,67.0,6.59252e-05
-161.0,66.0,6.86925e-05
-161.0,63.0,0.0001616181
-161.0,60.0,0.0001783597
-161.0,59.0,0.0001838359
-161.0,55.0,0.000205141
-160.0,70.0,5.75052e-05
-160.0,69.0,6.03302e-05
-160.0,68.0,6.31371e-05
-160.0,66.0,6.86925e-05
-160.0,60.0,0.0001783597
-160.0,59.0,0.0001838359
-160.0,56.0,0.0001999082
-159.0,70.0,5.75052e-05
-159.0,69.0,6.03302e-05
-159.0,68.0,6.31371e-05
-159.0,66.0,6.86925e-05
-159.0,60.0,0.0001783597
-159.0,59.0,0.0001838359
-159.0,56.0,0.0001999082
-159.0,-20.0,0.0003194235
-158.0,70.0,5.75052e-05
-158.0,69.0,6.03302e-05
-158.0,68.0,6.31371e-05
-158.0,67.0,6.59252e-05
-158.0,59.0,0.0001838359
-158.0,57.0,0.0007354654
-158.0,21.0,0.0559678651
-157.0,70.0,5.75052e-05
-157.0,69.0,6.03302e-05
-157.0,68.0,6.31371e-05
-157.0,67.0,6.59252e-05
-157.0,59.0,0.0001838359
-157.0,58.0,0.0001892513
