long,lat,deg
-170.0,-20.0,0.0001977121
-167.0,65.0,2.31204e-05
-166.0,68.0,3.80391e-05
-166.0,65.0,2.31204e-05
-166.0,64.0,2.40109e-05
-166.0,61.0,2.66069e-05
-165.0,68.0,3.80391e-05
-165.0,66.0,4.13861e-05
-165.0,65.0,2.31204e-05
-165.0,64.0,2.40109e-05
-165.0,62.0,2.57447e-05
-165.0,61.0,2.66069e-05
-165.0,60.0,2.74598e-05
-164.0,68.0,3.80391e-05
-164.0,67.0,3.97189e-05
-164.0,65.0,2.31204e-05
-164.0,62.0,2.57447e-05
-164.0,61.0,2.66069e-05
-164.0,60.0,2.74598e-05
-163.0,69.0,3.6348e-05
-163.0,68.0,3.80391e-05
-163.0,67.0,3.97189e-05
-163.0,65.0,2.31204e-05
-163.0,61.0,2.66069e-05
-163.0,60.0,2.74598e-05
-163.0,55.0,8.67695e-05
-162.0,69.0,3.6348e-05
-162.0,68.0,3.80391e-05
-162.0,65.0,2.31204e-05
-162.0,60.0,2.74598e-05
-162.0,59.0,2.83032e-05
-162.0,55.0,3.15832e-05
-161.0,69.0,3.6348e-05
-161.0,68.0,3.80391e-05
-161.0,67.0,3.97189e-05
-161.0,66.0,4.13861e-05
-161.0,63.0,2.48825e-05
-161.0,60.0,2.74598e-05
-161.0,59.0,2.83032e-05
-161.0,55.0,3.15832e-05
-160.0,70.0,3.4646e-05
-160.0,69.0,3.6348e-05
-160.0,68.0,3.80391e-05
-160.0,66.0,4.13861e-05
-160.0,60.0,2.74598e-05
-160.0,59.0,2.83032e-05
-160.0,56.0,3.07775e-05
-159.0,70.0,3.4646e-05
-159.0,69.0,3.6348e-05
-159.0,68.0,3.80391e-05
-159.0,66.0,4.13861e-05
-159.0,60.0,2.74598e-05
-159.0,59.0,2.83032e-05
-159.0,56.0,3.07775e-05
-159.0,-20.0,1.1297e-05
-158.0,70.0,3.4646e-05
-158.0,69.0,3.6348e-05
-158.0,68.0,3.80391e-05
-158.0,67.0,3.97189e-05
-158.0,59.0,2.83032e-05
-158.0,57.0,8.5148e-05
-158.0,21.0,0.0085812096
-157.0,70.0,3.4646e-05
-157.0,69.0,3.6348e-05
-157.0,68.0,3.80391e-05
-157.0,67.0,3.97189e-05
-157.0,59.0,2.83032e-05
-157.0,58.0,2.91372e-05
-157.0,57.0,2.99617e-05
-156.0,70.0,3.4646e-05
-156.0,69.0,3.6348e-05
-156.0,68.0,3.80391e-05
-156.0,67.0,3.97189e-05
-156.0,58.0,2.91372e-05
-156.0,19.0,0.0015221049
-155.0,70.0,3.4646e-05
-155.0,69.0,3.6348e-05
-155.0,68.0,3.80391e-05
-155.0,67.0,3.97189e-05
-155.0,60.0,2.74598e-05
-155.0,59.0,2.83032e-05
-155.0,58.0,2.91372e-05
-154.0,70.0,3.4646e-05
-154.0,69.0,3.6348e-05
-154.0,68.0,3.80391e-05
-154.0,67.0,3.97189e-05
-154.0,60.0,2.74598e-05
-154.0,57.0,2.99617e-05
-153.0,70.0,3.4646e-05
-153.0,69.0,3.6348e-05
-153.0,68.0,3.80391e-05
-153.0,60.0,2.74598e-05
-152.0,70.0,3.4646e-05
-152.0,69.0,3.6348e-05
-152.0,68.0,3.80391e-05
-152.0,62.0,0.0004442794
-152.0,61.0,0.0022369988
-152.0,59.0,2.83032e-05
-151.0,70.0,0.0316315024
-151.0,69.0,3.6348e-05
-151.0,68.0,3.80391e-05
-151.0,61.0,0.0008815663
-151.0,60.0,2.74598e-05
-151.0,59.0,2.83032e-05
-150.0,70.0,3.4646e-05
-150.0,69.0,6.57952e-05
-150.0,68.0,3.80391e-05
-150.0,61.0,0.0032231834
-150.0,60.0,2.74598e-05
-149.0,70.0,8.77214e-05
-149.0,69.0,3.6348e-05
-149.0,60.0,2.74598e-05
-148.0,69.0,3.6348e-05
-147.0,69.0,3.6348e-05
-146.0,69.0,3.6348e-05
-146.0,60.0,2.74598e-05
-145.0,69.0,3.6348e-05
-145.0,64.0,0.0017241278
-145.0,60.0,2.74598e-05
-144.0,69.0,3.6348e-05
-144.0,60.0,2.74598e-05
-143.0,69.0,3.6348e-05
-143.0,62.0,2.57447e-05
-143.0,60.0,2.74598e-05
-142.0,69.0,3.6348e-05
-142.0,60.0,2.74598e-05
-141.0,69.0,0.0003123975
-141.0,68.0,0.0003269289
-141.0,60.0,2.74598e-05
-140.0,69.0,0.0003123975
-140.0,68.0,0.0003269289
-140.0,67.0,0.0003413635
-140.0,63.0,1.00832e-05
-140.0,62.0,1.0434e-05
-140.0,61.0,1.07832e-05
-140.0,60.0,2.74598e-05
-139.0,68.0,0.0003269289
-139.0,67.0,0.0003413635
-139.0,63.0,1.00832e-05
-139.0,61.0,1.07832e-05
-139.0,59.0,2.83032e-05
-138.0,68.0,0.0003269289
-138.0,67.0,0.0003413635
-138.0,63.0,1.00832e-05
-138.0,61.0,1.07832e-05
-138.0,60.0,1.11241e-05
-137.0,68.0,0.0003269289
-137.0,67.0,0.0003413635
-137.0,63.0,1.00832e-05
-137.0,62.0,1.0434e-05
-137.0,60.0,1.11241e-05
-137.0,58.0,2.91372e-05
-136.0,68.0,0.0010186242
-136.0,67.0,0.0003424397
-136.0,63.0,1.00832e-05
-136.0,61.0,1.07832e-05
-136.0,60.0,1.11241e-05
-136.0,58.0,5.51863e-05
-136.0,57.0,2.99617e-05
-135.0,69.0,0.0003133768
-135.0,68.0,0.0003279595
-135.0,67.0,0.0003424397
-135.0,62.0,1.0434e-05
-135.0,60.0,1.11241e-05
-135.0,58.0,2.91372e-05
-135.0,57.0,2.99617e-05
-134.0,69.0,0.0003133768
-134.0,68.0,0.0003279595
-134.0,62.0,1.0434e-05
-134.0,60.0,1.11241e-05
-133.0,69.0,0.0003133768
-133.0,68.0,0.0003279595
-133.0,66.0,0.0003568174
-133.0,61.0,1.07832e-05
-133.0,56.0,3.07775e-05
-132.0,69.0,0.0003133768
-132.0,62.0,1.0434e-05
-132.0,61.0,1.07832e-05
-132.0,59.0,7.79481e-05
-131.0,69.0,0.0003133768
-131.0,68.0,0.0003279595
-131.0,61.0,1.07832e-05
-131.0,58.0,8.02392e-05
-131.0,55.0,0.0002714566
-130.0,69.0,0.0003133768
-130.0,68.0,0.0003279595
-130.0,61.0,1.07832e-05
-129.0,68.0,0.0003279595
-129.0,56.0,8.47606e-05
-129.0,55.0,8.69798e-05
-128.0,59.0,7.79481e-05
-128.0,55.0,8.69798e-05
-128.0,54.0,8.91824e-05
-128.0,50.0,9.76828e-05
-127.0,65.0,1.70324e-05
-127.0,59.0,7.79481e-05
-127.0,56.0,8.47606e-05
-127.0,55.0,8.69798e-05
-127.0,54.0,8.91824e-05
-127.0,53.0,9.13518e-05
-127.0,50.0,0.000152869
-126.0,58.0,8.02392e-05
-126.0,57.0,8.25138e-05
-126.0,56.0,8.47606e-05
-126.0,55.0,8.69798e-05
-126.0,54.0,8.91824e-05
-126.0,53.0,9.13518e-05
-126.0,52.0,9.34824e-05
-126.0,50.0,0.000152869
-126.0,49.0,9.97359e-05
-125.0,56.0,8.47606e-05
-125.0,55.0,8.69798e-05
-125.0,54.0,8.91824e-05
-125.0,53.0,9.13518e-05
-125.0,52.0,9.34824e-05
-125.0,51.0,9.55964e-05
-125.0,49.0,9.97359e-05
-125.0,48.0,0.0001017614
-125.0,42.0,0.0003737137
-124.0,58.0,8.02392e-05
-124.0,55.0,8.69798e-05
-124.0,54.0,8.91824e-05
-124.0,53.0,9.13518e-05
-124.0,52.0,0.0001348721
-124.0,51.0,9.55964e-05
-124.0,49.0,0.014274161
-124.0,48.0,0.0018597971
-124.0,47.0,0.0005865063
-124.0,46.0,0.0007384732
-124.0,45.0,0.0004328126
-124.0,44.0,0.0065607017
-124.0,43.0,0.0004033434
-124.0,42.0,0.0003586609
-124.0,41.0,0.0004720883
-124.0,40.0,0.0005637057
-124.0,39.0,0.0006262966
-123.0,61.0,6.91765e-05
-123.0,59.0,7.79481e-05
-123.0,58.0,8.02392e-05
-123.0,57.0,8.25138e-05
-123.0,56.0,8.47606e-05
-123.0,55.0,8.69798e-05
-123.0,54.0,8.91824e-05
-123.0,53.0,0.0020026327
-123.0,52.0,0.0001762618
-123.0,51.0,0.000205969
-123.0,50.0,9.76828e-05
-123.0,49.0,0.0045255283
-123.0,48.0,0.0015923329
-123.0,47.0,0.0265743007
-123.0,46.0,0.0065972269
-123.0,45.0,0.0129957788
-123.0,44.0,0.0005269868
-123.0,43.0,0.0009408007
-123.0,42.0,0.0003975492
-123.0,41.0,0.0004766318
-123.0,40.0,0.0005960249
-123.0,39.0,0.0006303365
-123.0,38.0,0.0096780726
-123.0,37.0,0.0393243645
-122.0,61.0,6.91765e-05
-122.0,57.0,8.25138e-05
-122.0,56.0,8.47606e-05
-122.0,55.0,8.69798e-05
-122.0,54.0,8.91824e-05
-122.0,53.0,9.13518e-05
-122.0,52.0,9.34824e-05
-122.0,51.0,0.0001369861
-122.0,50.0,0.0005174681
-122.0,49.0,9.97359e-05
-122.0,48.0,0.0006445592
-122.0,47.0,0.000572837
-122.0,46.0,0.0006249684
-122.0,45.0,0.0003441947
-122.0,44.0,0.000304753
-122.0,43.0,0.0002839503
-122.0,42.0,0.0003006799
-122.0,41.0,0.0004721381
-122.0,40.0,0.0004820331
-122.0,39.0,0.0006251344
-122.0,38.0,0.0122669349
-122.0,37.0,0.0191613442
-122.0,36.0,0.0054656096
-121.0,61.0,6.91765e-05
-121.0,56.0,8.46721e-05
-121.0,55.0,8.69798e-05
-121.0,54.0,8.91824e-05
-121.0,53.0,9.13518e-05
-121.0,52.0,9.34824e-05
-121.0,51.0,0.0001507827
-121.0,50.0,0.0019337329
-121.0,48.0,0.0005617687
-121.0,47.0,0.000572837
-121.0,46.0,0.0006939789
-121.0,45.0,0.0004233714
-121.0,44.0,0.000281233
-121.0,43.0,0.000281305
-121.0,42.0,0.0003699561
-121.0,41.0,0.0004710257
-121.0,40.0,0.0004793048
-121.0,39.0,0.0005737224
-121.0,38.0,0.0005147619
-121.0,37.0,0.0027692193
-121.0,36.0,0.0014116992
-121.0,35.0,0.0024768517
-120.0,61.0,6.91765e-05
-120.0,59.0,6.55683e-05
-120.0,58.0,6.74997e-05
-120.0,57.0,6.94145e-05
-120.0,56.0,7.13127e-05
-120.0,55.0,7.31777e-05
-120.0,54.0,7.50261e-05
-120.0,53.0,7.68468e-05
-120.0,52.0,9.34824e-05
-120.0,51.0,9.55964e-05
-120.0,50.0,9.76828e-05
-120.0,49.0,0.0017336744
-120.0,48.0,0.0005617687
-120.0,47.0,0.000572837
-120.0,46.0,0.0012097591
-120.0,45.0,0.0013535356
-120.0,44.0,0.0002772595
-120.0,43.0,0.0002829929
-120.0,42.0,0.0002858042
-120.0,41.0,4.33482e-05
-120.0,40.0,4.45724e-05
-120.0,39.0,0.0038462148
-120.0,38.0,0.0004985358
-120.0,37.0,0.0005100358
-120.0,36.0,0.0053920611
-120.0,35.0,0.0076404089
-120.0,34.0,0.0068988365
-119.0,61.0,6.91765e-05
-119.0,59.0,9.31614e-05
-119.0,58.0,6.74997e-05
-119.0,57.0,6.94145e-05
-119.0,56.0,7.13127e-05
-119.0,54.0,7.50261e-05
-119.0,53.0,7.68468e-05
-119.0,50.0,9.76828e-05
-119.0,49.0,0.0001825153
-119.0,48.0,0.0005617687
-119.0,47.0,0.0006417921
-119.0,46.0,0.0008217618
-119.0,45.0,0.0003676871
-119.0,44.0,0.0002794842
-119.0,43.0,0.0002817089
-119.0,42.0,0.0002858651
-119.0,41.0,4.33333e-05
-119.0,40.0,4.54307e-05
-119.0,39.0,5.6354e-05
-119.0,38.0,4.52381e-05
-119.0,37.0,0.0005072687
-119.0,36.0,0.0005137547
-119.0,35.0,0.0018445782
-119.0,34.0,0.0730393428
-119.0,33.0,0.0382501914
-118.0,61.0,6.91765e-05
-118.0,59.0,6.55683e-05
-118.0,58.0,6.74997e-05
-118.0,57.0,6.94145e-05
-118.0,56.0,7.13127e-05
-118.0,55.0,7.31777e-05
-118.0,54.0,7.50261e-05
-118.0,53.0,7.68468e-05
-118.0,52.0,7.86454e-05
-118.0,51.0,9.55964e-05
-118.0,50.0,9.76828e-05
-118.0,49.0,0.0001825153
-118.0,48.0,0.0005617687
-118.0,47.0,0.0058988207
-118.0,46.0,0.0009399706
-118.0,45.0,0.000273524
-118.0,44.0,0.0002915043
-118.0,43.0,0.0002912332
-118.0,42.0,0.0002867284
-118.0,41.0,0.0001263163
-118.0,40.0,0.0016253163
-118.0,39.0,4.48668e-05
-118.0,38.0,7.20321e-05
-118.0,37.0,5.00694e-05
-118.0,36.0,0.0005050108
-118.0,35.0,0.0011816457
-118.0,34.0,0.0104168779
-118.0,33.0,0.0305295377
-118.0,32.0,0.00610001
-117.0,61.0,6.91765e-05
