long,lat,deg
-170.0,-20.0,0.0002530006
-167.0,65.0,4.90142e-05
-166.0,68.0,8.06411e-05
-166.0,65.0,4.90142e-05
-166.0,64.0,5.09019e-05
-166.0,61.0,5.64054e-05
-165.0,68.0,8.06411e-05
-165.0,66.0,8.77366e-05
-165.0,65.0,4.90142e-05
-165.0,64.0,5.09019e-05
-165.0,62.0,5.45776e-05
-165.0,61.0,5.64054e-05
-165.0,60.0,5.82133e-05
-164.0,68.0,8.06411e-05
-164.0,67.0,8.42021e-05
-164.0,65.0,4.90142e-05
-164.0,62.0,5.45776e-05
-164.0,61.0,5.64054e-05
-164.0,60.0,5.82133e-05
-163.0,69.0,7.70559e-05
-163.0,68.0,8.06411e-05
-163.0,67.0,8.42021e-05
-163.0,65.0,4.90142e-05
-163.0,61.0,5.64054e-05
-163.0,60.0,5.82133e-05
-163.0,55.0,0.0001839471
-162.0,69.0,7.70559e-05
-162.0,68.0,8.06411e-05
-162.0,65.0,4.90142e-05
-162.0,60.0,5.82133e-05
-162.0,59.0,6.00013e-05
-162.0,55.0,6.69549e-05
-161.0,69.0,7.70559e-05
-161.0,68.0,8.06411e-05
-161.0,67.0,8.42021e-05
-161.0,66.0,8.77366e-05
-161.0,63.0,5.27497e-05
-161.0,60.0,5.82133e-05
-161.0,59.0,6.00013e-05
-161.0,55.0,6.69549e-05
-160.0,70.0,7.34478e-05
-160.0,69.0,7.70559e-05
-160.0,68.0,8.06411e-05
-160.0,66.0,8.77366e-05
-160.0,60.0,5.82133e-05
-160.0,59.0,6.00013e-05
-160.0,56.0,6.52467e-05
-159.0,70.0,7.34478e-05
-159.0,69.0,7.70559e-05
-159.0,68.0,8.06411e-05
-159.0,66.0,8.77366e-05
-159.0,60.0,5.82133e-05
-159.0,59.0,6.00013e-05
-159.0,56.0,6.52467e-05
-159.0,-20.0,2.62529e-05
-158.0,70.0,7.34478e-05
-158.0,69.0,7.70559e-05
-158.0,68.0,8.06411e-05
-158.0,67.0,8.42021e-05
-158.0,59.0,6.00013e-05
-158.0,57.0,0.0001805096
-158.0,21.0,0.0181917459
-157.0,70.0,7.34478e-05
-157.0,69.0,7.70559e-05
-157.0,68.0,8.06411e-05
-157.0,67.0,8.42021e-05
-157.0,59.0,6.00013e-05
-157.0,58.0,6.17693e-05
-157.0,57.0,6.35174e-05
-156.0,70.0,7.34478e-05
-156.0,69.0,7.70559e-05
-156.0,68.0,8.06411e-05
-156.0,67.0,8.42021e-05
-156.0,58.0,6.17693e-05
-156.0,19.0,0.0032267882
-155.0,70.0,7.34478e-05
-155.0,69.0,7.70559e-05
-155.0,68.0,8.06411e-05
-155.0,67.0,8.42021e-05
-155.0,60.0,5.82133e-05
-155.0,59.0,6.00013e-05
-155.0,58.0,6.17693e-05
-154.0,70.0,7.34478e-05
-154.0,69.0,7.70559e-05
-154.0,68.0,8.06411e-05
-154.0,67.0,8.42021e-05
-154.0,60.0,5.82133e-05
-154.0,57.0,6.35174e-05
-153.0,70.0,7.34478e-05
-153.0,69.0,7.70559e-05
-153.0,68.0,8.06411e-05
-153.0,60.0,5.82133e-05
-152.0,70.0,7.34478e-05
-152.0,69.0,7.70559e-05
-152.0,68.0,8.06411e-05
-152.0,62.0,0.0009418506
-152.0,61.0,0.0047423283
-152.0,59.0,6.00013e-05
-151.0,70.0,0.0670572422
-151.0,69.0,7.70559e-05
-151.0,68.0,8.06411e-05
-151.0,61.0,0.0018688776
-151.0,60.0,5.82133e-05
-151.0,59.0,6.00013e-05
-150.0,70.0,7.34478e-05
-150.0,69.0,0.0001394826
-150.0,68.0,8.06411e-05
-150.0,61.0,0.0068329915
-150.0,60.0,5.82133e-05
-149.0,70.0,0.000185965
-149.0,69.0,7.70559e-05
-149.0,60.0,5.82133e-05
-148.0,69.0,7.70559e-05
-147.0,69.0,7.70559e-05
-146.0,69.0,7.70559e-05
-146.0,60.0,5.82133e-05
-145.0,69.0,7.70559e-05
-145.0,64.0,0.0036550669
-145.0,60.0,5.82133e-05
-144.0,69.0,7.70559e-05
-144.0,60.0,5.82133e-05
-143.0,69.0,7.70559e-05
-143.0,62.0,5.45776e-05
-143.0,60.0,5.82133e-05
-142.0,69.0,7.70559e-05
-142.0,60.0,5.82133e-05
-141.0,69.0,0.0006622674
-141.0,68.0,0.0006930733
-141.0,60.0,5.82133e-05
-140.0,69.0,0.0006622674
-140.0,68.0,0.0006930733
-140.0,67.0,0.000723674
-140.0,63.0,2.13758e-05
-140.0,62.0,2.21196e-05
-140.0,61.0,2.28599e-05
-140.0,60.0,5.82133e-05
-139.0,68.0,0.0006930733
-139.0,67.0,0.000723674
-139.0,63.0,2.13758e-05
-139.0,61.0,2.28599e-05
-139.0,59.0,6.00013e-05
-138.0,68.0,0.0006930733
-138.0,67.0,0.000723674
-138.0,63.0,2.13758e-05
-138.0,61.0,2.28599e-05
-138.0,60.0,2.35826e-05
-137.0,68.0,0.0006930733
-137.0,67.0,0.000723674
-137.0,63.0,2.13758e-05
-137.0,62.0,2.21196e-05
-137.0,60.0,2.35826e-05
-137.0,58.0,6.17693e-05
-136.0,68.0,0.0021594337
-136.0,67.0,0.0007259555
-136.0,63.0,2.13758e-05
-136.0,61.0,2.28599e-05
-136.0,60.0,2.35826e-05
-136.0,58.0,0.0001169922
-136.0,57.0,6.35174e-05
-135.0,69.0,0.0006643436
-135.0,68.0,0.0006952582
-135.0,67.0,0.0007259555
-135.0,62.0,2.21196e-05
-135.0,60.0,2.35826e-05
-135.0,58.0,6.17693e-05
-135.0,57.0,6.35174e-05
-134.0,69.0,0.0006643436
-134.0,68.0,0.0006952582
-134.0,62.0,2.21196e-05
-134.0,60.0,2.35826e-05
-133.0,69.0,0.0006643436
-133.0,68.0,0.0006952582
-133.0,66.0,0.0007564355
-133.0,61.0,2.28599e-05
-133.0,56.0,6.52467e-05
-132.0,69.0,0.0006643436
-132.0,62.0,2.21196e-05
-132.0,61.0,2.28599e-05
-132.0,59.0,0.0001652462
-131.0,69.0,0.0006643436
-131.0,68.0,0.0006952582
-131.0,61.0,2.28599e-05
-131.0,58.0,0.0001701033
-131.0,55.0,0.0005754748
-130.0,69.0,0.0006643436
-130.0,68.0,0.0006952582
-130.0,61.0,2.28599e-05
-129.0,68.0,0.0006952582
-129.0,56.0,0.0001796884
-129.0,55.0,0.0001843929
-129.0,54.0,0.0005238216
-128.0,59.0,0.0001652462
-128.0,55.0,0.0001843929
-128.0,54.0,0.0001890623
-128.0,50.0,0.0002070827
-127.0,65.0,3.61078e-05
-127.0,59.0,0.0001652462
-127.0,56.0,0.0001796884
-127.0,55.0,0.0001843929
-127.0,54.0,0.0001890623
-127.0,53.0,0.0001936613
-127.0,50.0,0.0003240749
-126.0,58.0,0.0001701033
-126.0,57.0,0.0001749251
-126.0,56.0,0.0001796884
-126.0,55.0,0.0001843929
-126.0,54.0,0.0001890623
-126.0,53.0,0.0001936613
-126.0,52.0,0.0001981781
-126.0,50.0,0.0003240749
-126.0,49.0,0.0002114353
-125.0,56.0,0.0001796884
-125.0,55.0,0.0001843929
-125.0,54.0,0.0001890623
-125.0,53.0,0.0001936613
-125.0,52.0,0.0001981781
-125.0,51.0,0.0002026598
-125.0,49.0,0.0002114353
-125.0,48.0,0.0002157293
-125.0,42.0,0.0007922549
-124.0,58.0,0.0001701033
-124.0,55.0,0.0001843929
-124.0,54.0,0.0001890623
-124.0,53.0,0.0001936613
-124.0,52.0,0.0002859222
-124.0,51.0,0.0002026598
-124.0,49.0,0.030260525
-124.0,48.0,0.003942679
-124.0,47.0,0.0012433646
-124.0,46.0,0.0015655273
-124.0,45.0,0.0009175416
-124.0,44.0,0.0139083676
-124.0,43.0,0.0008550684
-124.0,42.0,0.0007603436
-124.0,41.0,0.0010008041
-124.0,40.0,0.0011950285
-124.0,39.0,0.0013277182
-123.0,61.0,0.0001466509
-123.0,59.0,0.0001652462
-123.0,58.0,0.0001701033
-123.0,57.0,0.0001749251
-123.0,56.0,0.0001796884
-123.0,55.0,0.0001843929
-123.0,54.0,0.0001890623
-123.0,53.0,0.0042454837
-123.0,52.0,0.0003736664
-123.0,51.0,0.0004366441
-123.0,50.0,0.0002070827
-123.0,49.0,0.0095938993
-123.0,48.0,0.0033756682
-123.0,47.0,0.0563362212
-123.0,46.0,0.0139857992
-123.0,45.0,0.0275504172
-123.0,44.0,0.0011171862
-123.0,43.0,0.0019944517
-123.0,42.0,0.0008427849
-123.0,41.0,0.0010104362
-123.0,40.0,0.0012635438
-123.0,39.0,0.0013362826
-123.0,38.0,0.0205170419
-123.0,37.0,0.0833657345
-122.0,61.0,0.0001466509
-122.0,57.0,0.0001749251
-122.0,56.0,0.0001796884
