long,lat,deg
-170.0,-20.0,0.0001143126
-167.0,65.0,7.2686e-06
-166.0,68.0,1.19587e-05
-166.0,65.0,7.2686e-06
-166.0,64.0,7.5486e-06
-166.0,61.0,8.3647e-06
-165.0,68.0,1.19587e-05
-165.0,66.0,1.3011e-05
-165.0,65.0,7.2686e-06
-165.0,64.0,7.5486e-06
-165.0,62.0,8.0936e-06
-165.0,61.0,8.3647e-06
-165.0,60.0,8.6328e-06
-164.0,68.0,1.19587e-05
-164.0,67.0,1.24868e-05
-164.0,65.0,7.2686e-06
-164.0,62.0,8.0936e-06
-164.0,61.0,8.3647e-06
-164.0,60.0,8.6328e-06
-163.0,69.0,1.14271e-05
-163.0,68.0,1.19587e-05
-163.0,67.0,1.24868e-05
-163.0,65.0,7.2686e-06
-163.0,61.0,8.3647e-06
-163.0,60.0,8.6328e-06
-163.0,55.0,2.72786e-05
-162.0,69.0,1.14271e-05
-162.0,68.0,1.19587e-05
-162.0,65.0,7.2686e-06
-162.0,60.0,8.6328e-06
-162.0,59.0,8.898e-06
-162.0,55.0,9.9291e-06
-161.0,69.0,1.14271e-05
-161.0,68.0,1.19587e-05
-161.0,67.0,1.24868e-05
-161.0,66.0,1.3011e-05
-161.0,63.0,7.8226e-06
-161.0,60.0,8.6328e-06
-161.0,59.0,8.898e-06
-161.0,55.0,9.9291e-06
-160.0,70.0,1.0892e-05
-160.0,69.0,1.14271e-05
-160.0,68.0,1.19587e-05
-160.0,66.0,1.3011e-05
-160.0,60.0,8.6328e-06
-160.0,59.0,8.898e-06
-160.0,56.0,9.6758e-06
-159.0,70.0,1.0892e-05
-159.0,69.0,1.14271e-05
-159.0,68.0,1.19587e-05
-159.0,66.0,1.3011e-05
-159.0,60.0,8.6328e-06
-159.0,59.0,8.898e-06
-159.0,56.0,9.6758e-06
-159.0,-20.0,7.1654e-06
-158.0,70.0,1.0892e-05
-158.0,69.0,1.14271e-05
-158.0,68.0,1.19587e-05
-158.0,67.0,1.24868e-05
-158.0,59.0,8.898e-06
-158.0,57.0,2.67688e-05
-158.0,21.0,0.0026977628
-157.0,70.0,1.0892e-05
-157.0,69.0,1.14271e-05
-157.0,68.0,1.19587e-05
-157.0,67.0,1.24868e-05
-157.0,59.0,8.898e-06
-157.0,58.0,9.1601e-06
-157.0,57.0,9.4194e-06
-156.0,70.0,1.0892e-05
-156.0,69.0,1.14271e-05
-156.0,68.0,1.19587e-05
-156.0,67.0,1.24868e-05
-156.0,58.0,9.1601e-06
-156.0,19.0,0.0004785197
-155.0,70.0,1.0892e-05
-155.0,69.0,1.14271e-05
-155.0,68.0,1.19587e-05
