long,lat,deg
-170.0,-20.0,7.89962e-05
-167.0,65.0,3.78456e-05
-166.0,68.0,6.22657e-05
-166.0,65.0,3.78456e-05
-166.0,64.0,3.93031e-05
-166.0,61.0,4.35526e-05
-165.0,68.0,6.22657e-05
-165.0,66.0,6.77444e-05
-165.0,65.0,3.78456e-05
-165.0,64.0,3.93031e-05
-165.0,62.0,4.21412e-05
-165.0,61.0,4.35526e-05
-165.0,60.0,4.49485e-05
-164.0,68.0,6.22657e-05
-164.0,67.0,6.50153e-05
-164.0,65.0,3.78456e-05
-164.0,62.0,4.21412e-05
-164.0,61.0,4.35526e-05
-164.0,60.0,4.49485e-05
-163.0,69.0,5.94975e-05
-163.0,68.0,6.22657e-05
-163.0,67.0,6.50153e-05
-163.0,65.0,3.78456e-05
-163.0,61.0,4.35526e-05
-163.0,60.0,4.49485e-05
-163.0,55.0,0.0001420319
-162.0,69.0,5.94975e-05
-162.0,68.0,6.22657e-05
-162.0,65.0,3.78456e-05
-162.0,60.0,4.49485e-05
-162.0,59.0,4.63291e-05
-162.0,55.0,5.16982e-05
-161.0,69.0,5.94975e-05
-161.0,68.0,6.22657e-05
-161.0,67.0,6.50153e-05
-161.0,66.0,6.77444e-05
-161.0,63.0,4.07299e-05
-161.0,60.0,4.49485e-05
-161.0,59.0,4.63291e-05
-161.0,55.0,5.16982e-05
-160.0,70.0,5.67116e-05
-160.0,69.0,5.94975e-05
-160.0,68.0,6.22657e-05
-160.0,66.0,6.77444e-05
-160.0,60.0,4.49485e-05
-160.0,59.0,4.63291e-05
-160.0,56.0,5.03792e-05
-159.0,70.0,5.67116e-05
-159.0,69.0,5.94975e-05
-159.0,68.0,6.22657e-05
-159.0,66.0,6.77444e-05
-159.0,60.0,4.49485e-05
-159.0,59.0,4.63291e-05
-159.0,56.0,5.03792e-05
-159.0,-20.0,5.3143e-06
-158.0,70.0,5.67116e-05
-158.0,69.0,5.94975e-05
-158.0,68.0,6.22657e-05
-158.0,67.0,6.50153e-05
-158.0,59.0,4.63291e-05
-158.0,57.0,0.0001393777
-158.0,21.0,0.0140464735
-157.0,70.0,5.67116e-05
-157.0,69.0,5.94975e-05
-157.0,68.0,6.22657e-05
-157.0,67.0,6.50153e-05
-157.0,59.0,4.63291e-05
-157.0,58.0,4.76942e-05
-157.0,57.0,4.9044e-05
-156.0,70.0,5.67116e-05
-156.0,69.0,5.94975e-05
-156.0,68.0,6.22657e-05
-156.0,67.0,6.50153e-05
-156.0,58.0,4.76942e-05
-156.0,19.0,0.0024915143
-155.0,70.0,5.67116e-05
-155.0,69.0,5.94975e-05
-155.0,68.0,6.22657e-05
-155.0,67.0,6.50153e-05
-155.0,60.0,4.49485e-05
-155.0,59.0,4.63291e-05
-155.0,58.0,4.76942e-05
-154.0,70.0,5.67116e-05
-154.0,69.0,5.94975e-05
-154.0,68.0,6.22657e-05
-154.0,67.0,6.50153e-05
-154.0,60.0,4.49485e-05
-154.0,57.0,4.9044e-05
-153.0,70.0,5.67116e-05
-153.0,69.0,5.94975e-05
-153.0,68.0,6.22657e-05
-153.0,60.0,4.49485e-05
-152.0,70.0,5.67116e-05
-152.0,69.0,5.94975e-05
-152.0,68.0,6.22657e-05
-152.0,62.0,0.0007272353
-152.0,61.0,0.003661715
-152.0,59.0,4.63291e-05
-151.0,70.0,0.0517772061
-151.0,69.0,5.94975e-05
-151.0,68.0,6.22657e-05
-151.0,61.0,0.0014430248
-151.0,60.0,4.49485e-05
-151.0,59.0,4.63291e-05
-150.0,70.0,5.67116e-05
-150.0,69.0,0.0001076993
-150.0,68.0,6.22657e-05
-150.0,61.0,0.0052759881
-150.0,60.0,4.49485e-05
-149.0,70.0,0.00014359
-149.0,69.0,5.94975e-05
-149.0,60.0,4.49485e-05
-148.0,69.0,5.94975e-05
-147.0,69.0,5.94975e-05
-146.0,69.0,5.94975e-05
-146.0,60.0,4.49485e-05
-145.0,69.0,5.94975e-05
-145.0,64.0,0.0028222031
-145.0,60.0,4.49485e-05
-144.0,69.0,5.94975e-05
-144.0,60.0,4.49485e-05
-143.0,69.0,5.94975e-05
-143.0,62.0,4.21412e-05
-143.0,60.0,4.49485e-05
-142.0,69.0,5.94975e-05
-142.0,60.0,4.49485e-05
-141.0,69.0,0.0005113594
-141.0,68.0,0.0005351458
-141.0,60.0,4.49485e-05
-140.0,69.0,0.0005113594
-140.0,68.0,0.0005351458
-140.0,67.0,0.0005587736
-140.0,63.0,1.6505e-05
-140.0,62.0,1.70793e-05
-140.0,61.0,1.76509e-05
-140.0,60.0,4.49485e-05
-139.0,68.0,0.0005351458
-139.0,67.0,0.0005587736
-139.0,63.0,1.6505e-05
-139.0,61.0,1.76509e-05
-139.0,59.0,4.63291e-05
-138.0,68.0,0.0005351458
-138.0,67.0,0.0005587736
-138.0,63.0,1.6505e-05
-138.0,61.0,1.76509e-05
-138.0,60.0,1.8209e-05
-137.0,68.0,0.0005351458
-137.0,67.0,0.0005587736
-137.0,63.0,1.6505e-05
-137.0,62.0,1.70793e-05
-137.0,60.0,1.8209e-05
-137.0,58.0,4.76942e-05
-136.0,68.0,0.0016673731
-136.0,67.0,0.0005605352
-136.0,63.0,1.6505e-05
-136.0,61.0,1.76509e-05
-136.0,60.0,1.8209e-05
-136.0,58.0,9.03337e-05
-136.0,57.0,4.9044e-05
-135.0,69.0,0.0005129626
-135.0,68.0,0.0005368328
-135.0,67.0,0.0005605352
-135.0,62.0,1.70793e-05
-135.0,60.0,1.8209e-05
-135.0,58.0,4.76942e-05
-135.0,57.0,4.9044e-05
-134.0,69.0,0.0005129626
-134.0,68.0,0.0005368328
-134.0,62.0,1.70793e-05
-134.0,60.0,1.8209e-05
-133.0,69.0,0.0005129626
-133.0,68.0,0.0005368328
-133.0,66.0,0.0005840699
-133.0,61.0,1.76509e-05
-133.0,56.0,5.03792e-05
-132.0,69.0,0.0005129626
-132.0,62.0,1.70793e-05
-132.0,61.0,1.76509e-05
-132.0,59.0,0.0001275923
-131.0,69.0,0.0005129626
-131.0,68.0,0.0005368328
-131.0,61.0,1.76509e-05
-131.0,58.0,0.0001313426
-131.0,55.0,0.0004443439
-130.0,69.0,0.0005129626
-130.0,68.0,0.0005368328
-130.0,61.0,1.76509e-05
-129.0,68.0,0.0005368328
-129.0,56.0,0.0001387436
-129.0,55.0,0.0001423761
-129.0,54.0,0.0004044607
-128.0,59.0,0.0001275923
-128.0,55.0,0.0001423761
-128.0,54.0,0.0001459815
-128.0,50.0,0.0001598957
-127.0,65.0,2.78801e-05
-127.0,59.0,0.0001275923
-127.0,56.0,0.0001387436
-127.0,55.0,0.0001423761
-127.0,54.0,0.0001459815
-127.0,53.0,0.0001495325
-127.0,50.0,0.0002502294
-126.0,58.0,0.0001313426
-126.0,57.0,0.0001350657
-126.0,56.0,0.0001387436
-126.0,55.0,0.0001423761
-126.0,54.0,0.0001459815
-126.0,53.0,0.0001495325
-126.0,52.0,0.0001530201
-126.0,50.0,0.0002502294
-126.0,49.0,0.0001632565
-125.0,56.0,0.0001387436
-125.0,55.0,0.0001423761
-125.0,54.0,0.0001459815
-125.0,53.0,0.0001495325
-125.0,52.0,0.0001530201
-125.0,51.0,0.0001564806
-125.0,49.0,0.0001632565
-125.0,48.0,0.000166572
-125.0,42.0,0.0006117273
-124.0,58.0,0.0001313426
-124.0,55.0,0.0001423761
-124.0,54.0,0.0001459815
-124.0,53.0,0.0001495325
-124.0,52.0,0.0002207704
-124.0,51.0,0.0001564806
-124.0,49.0,0.0233651936
-124.0,48.0,0.0030442783
-124.0,47.0,0.0009600447
-124.0,46.0,0.0012087975
-124.0,45.0,0.0007084655
-124.0,44.0,0.0107391296
-124.0,43.0,0.0006602277
-124.0,42.0,0.0005870875
-124.0,41.0,0.0007727553
-124.0,40.0,0.0009227227
-124.0,39.0,0.001025177
-123.0,61.0,0.0001132342
-123.0,59.0,0.0001275923
-123.0,58.0,0.0001313426
-123.0,57.0,0.0001350657
-123.0,56.0,0.0001387436
-123.0,55.0,0.0001423761
-123.0,54.0,0.0001459815
-123.0,53.0,0.0032780842
-123.0,52.0,0.0002885207
-123.0,51.0,0.000337148
-123.0,50.0,0.0001598957
-123.0,49.0,0.00740778
-123.0,48.0,0.0026064696
-123.0,47.0,0.0434991366
-123.0,46.0,0.0107989172
-123.0,45.0,0.0212726259
-123.0,44.0,0.000862618
-123.0,43.0,0.0015399848
-123.0,42.0,0.0006507432
-123.0,41.0,0.0007801926
-123.0,40.0,0.0009756257
-123.0,39.0,0.0010317898
-123.0,38.0,0.0158419147
-123.0,37.0,0.0643695547
-122.0,61.0,0.0001132342
-122.0,57.0,0.0001350657
-122.0,56.0,0.0001387436
-122.0,55.0,0.0001423761
-122.0,54.0,0.0001459815
-122.0,53.0,0.0001495325
-122.0,52.0,0.0001530201
-122.0,51.0,0.0002242309
-122.0,50.0,0.0008470369
-122.0,49.0,0.0001632565
-122.0,48.0,0.0010550708
-122.0,47.0,0.0009376696
-122.0,46.0,0.0010230029
-122.0,45.0,0.000563408
-122.0,44.0,0.0004988464
-122.0,43.0,0.0004647946
-122.0,42.0,0.0004921792
-122.0,41.0,0.0007728369
-122.0,40.0,0.0007890339
-122.0,39.0,0.0010232746
-122.0,38.0,0.0200795906
-122.0,37.0,0.0313649619
-122.0,36.0,0.0089465872
-121.0,61.0,0.0001132342
-121.0,56.0,0.0001385986
-121.0,55.0,0.0001423761
-121.0,54.0,0.0001459815
-121.0,53.0,0.0001495325
-121.0,52.0,0.0001530201
-121.0,51.0,0.0002468143
-121.0,50.0,0.003165303
-121.0,48.0,0.0009195521
-121.0,47.0,0.0009376696
-121.0,46.0,0.0011359653
-121.0,45.0,0.0006930113
-121.0,44.0,0.0004603468
-121.0,43.0,0.0004604645
-121.0,42.0,0.0006055764
-121.0,41.0,0.0007710161
-121.0,40.0,0.0007845679
-121.0,39.0,0.000939119
-121.0,38.0,0.0008426072
-121.0,37.0,0.0045329001
-121.0,36.0,0.0023107925
-121.0,35.0,0.0040543272
-120.0,61.0,0.0001132342
-120.0,59.0,0.0001073279
-120.0,58.0,0.0001104894
-120.0,57.0,0.0001136237
-120.0,56.0,0.0001167308
-120.0,55.0,0.0001197836
-120.0,54.0,0.0001228093
-120.0,53.0,0.0001257896
-120.0,52.0,0.0001530201
-120.0,51.0,0.0001564806
-120.0,50.0,0.0001598957
-120.0,49.0,0.0028378297
-120.0,48.0,0.0009195521
-120.0,47.0,0.0009376696
-120.0,46.0,0.0019802393
-120.0,45.0,0.0022155852
-120.0,44.0,0.0004538426
-120.0,43.0,0.0004632274
-120.0,42.0,0.0004678293
-120.0,41.0,7.09562e-05
-120.0,40.0,7.29599e-05
-120.0,39.0,0.0062958204
-120.0,38.0,0.000816047
-120.0,37.0,0.0008348711
-120.0,36.0,0.0088261967
-120.0,35.0,0.0125064887
-120.0,34.0,0.0112926183
-119.0,61.0,0.0001132342
-119.0,59.0,0.0001524947
-119.0,58.0,0.0001104894
-119.0,57.0,0.0001136237
-119.0,56.0,0.0001167308
-119.0,54.0,0.0001228093
-119.0,53.0,0.0001257896
-119.0,50.0,0.0001598957
-119.0,49.0,0.0002987571
-119.0,48.0,0.0009195521
-119.0,47.0,0.0010505414
-119.0,46.0,0.0013451315
-119.0,45.0,0.0006018623
-119.0,44.0,0.0004574842
-119.0,43.0,0.0004611258
-119.0,42.0,0.0004679289
-119.0,41.0,7.09317e-05
-119.0,40.0,7.4365e-05
-119.0,39.0,9.22451e-05
-119.0,38.0,7.40497e-05
-119.0,37.0,0.0008303417
-119.0,36.0,0.0008409585
-119.0,35.0,0.0030193668
-119.0,34.0,0.1195571763
-119.0,33.0,0.0626112544
-118.0,61.0,0.0001132342
-118.0,59.0,0.0001073279
-118.0,58.0,0.0001104894
-118.0,57.0,0.0001136237
-118.0,56.0,0.0001167308
-118.0,55.0,0.0001197836
-118.0,54.0,0.0001228093
-118.0,53.0,0.0001257896
-118.0,52.0,0.0001287337
-118.0,51.0,0.0001564806
-118.0,50.0,0.0001598957
-118.0,49.0,0.0002987571
-118.0,48.0,0.0009195521
-118.0,47.0,0.009655705
-118.0,46.0,0.001538626
-118.0,45.0,0.0004477279
-118.0,44.0,0.0004771598
-118.0,43.0,0.0004767159
-118.0,42.0,0.0004693421
-118.0,41.0,0.0002067656
-118.0,40.0,0.0026604597
-118.0,39.0,7.34419e-05
-118.0,38.0,0.0001179085
-118.0,37.0,8.1958e-05
-118.0,36.0,0.0008266457
-118.0,35.0,0.001934221
-118.0,34.0,0.0170512557
-118.0,33.0,0.049973414
-118.0,32.0,0.0099850292
-117.0,61.0,0.0001132342
-117.0,60.0,0.0001168577
-117.0,59.0,0.0001073279
-117.0,58.0,0.0001104894
-117.0,57.0,0.0001136237
-117.0,56.0,0.0001167308
-117.0,55.0,0.0001197836
-117.0,54.0,0.0001228093
-117.0,53.0,0.0001257896
-117.0,52.0,0.0001287337
-117.0,50.0,0.0001598957
-117.0,49.0,0.0001632565
-117.0,48.0,0.0002689719
-117.0,47.0,0.0003497758
-117.0,46.0,0.0006489768
-117.0,45.0,0.0002710192
-117.0,44.0,0.0003008949
-117.0,43.0,0.0093966252
-117.0,42.0,0.0002819712
-117.0,41.0,0.0002064938
-117.0,40.0,7.9042e-05
-117.0,39.0,7.36312e-05
-117.0,38.0,7.46168e-05
-117.0,37.0,8.32289e-05
-117.0,36.0,0.0008354055
-117.0,35.0,0.0008372716
-117.0,34.0,0.0014734937
-117.0,33.0,0.0030519782
-117.0,32.0,0.0007743742
-117.0,31.0,0.0019440424
-116.0,62.0,9.03337e-05
-116.0,58.0,0.0001104894
-116.0,57.0,0.0001136237
-116.0,56.0,0.0001167308
-116.0,55.0,0.0001197836
-116.0,54.0,0.0001228093
-116.0,53.0,0.0001257896
-116.0,52.0,0.0001287337
-116.0,51.0,0.0001316506
-116.0,50.0,0.0001598957
-116.0,49.0,0.0001632565
-116.0,48.0,0.0001616712
-116.0,47.0,0.0001368684
-116.0,46.0,0.0002674048
-116.0,45.0,0.0002682472
-116.0,44.0,0.0002727766
-116.0,43.0,0.0002809566
-116.0,42.0,0.0002821977
-116.0,41.0,0.0002063942
-116.0,40.0,7.33277e-05
-116.0,39.0,7.31303e-05
-116.0,38.0,7.53623e-05
-116.0,37.0,7.53071e-05
