long,lat,deg
-170.0,-20.0,0.0001583723
-167.0,65.0,2.6319e-05
-166.0,68.0,4.33015e-05
-166.0,65.0,2.6319e-05
-166.0,64.0,2.73326e-05
-166.0,61.0,3.02878e-05
-165.0,68.0,4.33015e-05
-165.0,66.0,4.71115e-05
-165.0,65.0,2.6319e-05
-165.0,64.0,2.73326e-05
-165.0,62.0,2.93063e-05
-165.0,61.0,3.02878e-05
-165.0,60.0,3.12586e-05
-164.0,68.0,4.33015e-05
-164.0,67.0,4.52137e-05
-164.0,65.0,2.6319e-05
-164.0,62.0,2.93063e-05
-164.0,61.0,3.02878e-05
-164.0,60.0,3.12586e-05
-163.0,69.0,4.13764e-05
-163.0,68.0,4.33015e-05
-163.0,67.0,4.52137e-05
-163.0,65.0,2.6319e-05
-163.0,61.0,3.02878e-05
-163.0,60.0,3.12586e-05
-163.0,55.0,9.87733e-05
-162.0,69.0,4.13764e-05
-162.0,68.0,4.33015e-05
-162.0,65.0,2.6319e-05
-162.0,60.0,3.12586e-05
-162.0,59.0,3.22187e-05
-162.0,55.0,3.59525e-05
-161.0,69.0,4.13764e-05
-161.0,68.0,4.33015e-05
-161.0,67.0,4.52137e-05
-161.0,66.0,4.71115e-05
-161.0,63.0,2.83248e-05
-161.0,60.0,3.12586e-05
-161.0,59.0,3.22187e-05
-161.0,55.0,3.59525e-05
-160.0,70.0,3.9439e-05
-160.0,69.0,4.13764e-05
-160.0,68.0,4.33015e-05
-160.0,66.0,4.71115e-05
-160.0,60.0,3.12586e-05
-160.0,59.0,3.22187e-05
-160.0,56.0,3.50353e-05
-159.0,70.0,3.9439e-05
-159.0,69.0,4.13764e-05
-159.0,68.0,4.33015e-05
-159.0,66.0,4.71115e-05
-159.0,60.0,3.12586e-05
-159.0,59.0,3.22187e-05
-159.0,56.0,3.50353e-05
-159.0,-20.0,8.8698e-06
-158.0,70.0,3.9439e-05
-158.0,69.0,4.13764e-05
-158.0,68.0,4.33015e-05
-158.0,67.0,4.52137e-05
-158.0,59.0,3.22187e-05
-158.0,57.0,9.69275e-05
-158.0,21.0,0.009768348
-157.0,70.0,3.9439e-05
-157.0,69.0,4.13764e-05
-157.0,68.0,4.33015e-05
-157.0,67.0,4.52137e-05
-157.0,59.0,3.22187e-05
-157.0,58.0,3.3168e-05
-157.0,57.0,3.41067e-05
-156.0,70.0,3.9439e-05
-156.0,69.0,4.13764e-05
-156.0,68.0,4.33015e-05
-156.0,67.0,4.52137e-05
-156.0,58.0,3.3168e-05
-156.0,19.0,0.0017326754
-155.0,70.0,3.9439e-05
-155.0,69.0,4.13764e-05
-155.0,68.0,4.33015e-05
-155.0,67.0,4.52137e-05
-155.0,60.0,3.12586e-05
-155.0,59.0,3.22187e-05
-155.0,58.0,3.3168e-05
-154.0,70.0,3.9439e-05
-154.0,69.0,4.13764e-05
-154.0,68.0,4.33015e-05
-154.0,67.0,4.52137e-05
-154.0,60.0,3.12586e-05
-154.0,57.0,3.41067e-05
-153.0,70.0,3.9439e-05
-153.0,69.0,4.13764e-05
-153.0,68.0,4.33015e-05
-153.0,60.0,3.12586e-05
-152.0,70.0,3.9439e-05
-152.0,69.0,4.13764e-05
-152.0,68.0,4.33015e-05
-152.0,62.0,0.0005057417
-152.0,61.0,0.0025464688
-152.0,59.0,3.22187e-05
-151.0,70.0,0.0360074554
-151.0,69.0,4.13764e-05
-151.0,68.0,4.33015e-05
-151.0,61.0,0.0010035237
-151.0,60.0,3.12586e-05
-151.0,59.0,3.22187e-05
-150.0,70.0,3.9439e-05
-150.0,69.0,7.48974e-05
-150.0,68.0,4.33015e-05
-150.0,61.0,0.0036690837
-150.0,60.0,3.12586e-05
-149.0,70.0,9.98569e-05
-149.0,69.0,4.13764e-05
-149.0,60.0,3.12586e-05
-148.0,69.0,4.13764e-05
-147.0,69.0,4.13764e-05
-146.0,69.0,4.13764e-05
-146.0,60.0,3.12586e-05
-145.0,69.0,4.13764e-05
-145.0,64.0,0.0019626465
-145.0,60.0,3.12586e-05
-144.0,69.0,4.13764e-05
-144.0,60.0,3.12586e-05
-143.0,69.0,4.13764e-05
-143.0,62.0,2.93063e-05
-143.0,60.0,3.12586e-05
-142.0,69.0,4.13764e-05
-142.0,60.0,3.12586e-05
-141.0,69.0,0.000355615
-141.0,68.0,0.0003721568
-141.0,60.0,3.12586e-05
-140.0,69.0,0.000355615
-140.0,68.0,0.0003721568
-140.0,67.0,0.0003885883
-140.0,63.0,1.14781e-05
-140.0,62.0,1.18775e-05
-140.0,61.0,1.2275e-05
-140.0,60.0,3.12586e-05
-139.0,68.0,0.0003721568
-139.0,67.0,0.0003885883
-139.0,63.0,1.14781e-05
-139.0,61.0,1.2275e-05
-139.0,59.0,3.22187e-05
-138.0,68.0,0.0003721568
-138.0,67.0,0.0003885883
-138.0,63.0,1.14781e-05
-138.0,61.0,1.2275e-05
-138.0,60.0,1.26631e-05
-137.0,68.0,0.0003721568
