long,lat,deg
-170.0,-20.0,0.000144035
-167.0,65.0,4.77821e-05
-166.0,68.0,7.86139e-05
-166.0,65.0,4.77821e-05
-166.0,64.0,4.96224e-05
-166.0,61.0,5.49875e-05
-165.0,68.0,7.86139e-05
-165.0,66.0,8.55311e-05
-165.0,65.0,4.77821e-05
-165.0,64.0,4.96224e-05
-165.0,62.0,5.32056e-05
-165.0,61.0,5.49875e-05
-165.0,60.0,5.675e-05
-164.0,68.0,7.86139e-05
-164.0,67.0,8.20855e-05
-164.0,65.0,4.77821e-05
-164.0,62.0,5.32056e-05
-164.0,61.0,5.49875e-05
-164.0,60.0,5.675e-05
-163.0,69.0,7.51189e-05
-163.0,68.0,7.86139e-05
-163.0,67.0,8.20855e-05
-163.0,65.0,4.77821e-05
-163.0,61.0,5.49875e-05
-163.0,60.0,5.675e-05
-163.0,55.0,0.0001793231
-162.0,69.0,7.51189e-05
-162.0,68.0,7.86139e-05
-162.0,65.0,4.77821e-05
-162.0,60.0,5.675e-05
-162.0,59.0,5.8493e-05
-162.0,55.0,6.52718e-05
-161.0,69.0,7.51189e-05
-161.0,68.0,7.86139e-05
-161.0,67.0,8.20855e-05
-161.0,66.0,8.55311e-05
-161.0,63.0,5.14237e-05
-161.0,60.0,5.675e-05
-161.0,59.0,5.8493e-05
-161.0,55.0,6.52718e-05
-160.0,70.0,7.16015e-05
-160.0,69.0,7.51189e-05
-160.0,68.0,7.86139e-05
-160.0,66.0,8.55311e-05
-160.0,60.0,5.675e-05
-160.0,59.0,5.8493e-05
-160.0,56.0,6.36066e-05
-159.0,70.0,7.16015e-05
-159.0,69.0,7.51189e-05
-159.0,68.0,7.86139e-05
-159.0,66.0,8.55311e-05
-159.0,60.0,5.675e-05
-159.0,59.0,5.8493e-05
-159.0,56.0,6.36066e-05
-159.0,-20.0,1.14871e-05
-158.0,70.0,7.16015e-05
-158.0,69.0,7.51189e-05
-158.0,68.0,7.86139e-05
-158.0,67.0,8.20855e-05
-158.0,59.0,5.8493e-05
-158.0,57.0,0.000175972
-158.0,21.0,0.0177344489
-157.0,70.0,7.16015e-05
-157.0,69.0,7.51189e-05
-157.0,68.0,7.86139e-05
-157.0,67.0,8.20855e-05
-157.0,59.0,5.8493e-05
-157.0,58.0,6.02166e-05
-157.0,57.0,6.19207e-05
-156.0,70.0,7.16015e-05
-156.0,69.0,7.51189e-05
-156.0,68.0,7.86139e-05
-156.0,67.0,8.20855e-05
-156.0,58.0,6.02166e-05
-156.0,19.0,0.0031456745
-155.0,70.0,7.16015e-05
-155.0,69.0,7.51189e-05
-155.0,68.0,7.86139e-05
-155.0,67.0,8.20855e-05
-155.0,60.0,5.675e-05
-155.0,59.0,5.8493e-05
-155.0,58.0,6.02166e-05
-154.0,70.0,7.16015e-05
-154.0,69.0,7.51189e-05
-154.0,68.0,7.86139e-05
-154.0,67.0,8.20855e-05
-154.0,60.0,5.675e-05
-154.0,57.0,6.19207e-05
-153.0,70.0,7.16015e-05
-153.0,69.0,7.51189e-05
-153.0,68.0,7.86139e-05
-153.0,60.0,5.675e-05
-152.0,70.0,7.16015e-05
-152.0,69.0,7.51189e-05
-152.0,68.0,7.86139e-05
-152.0,62.0,0.0009181747
-152.0,61.0,0.0046231176
-152.0,59.0,5.8493e-05
-151.0,70.0,0.0653715837
-151.0,69.0,7.51189e-05
-151.0,68.0,7.86139e-05
-151.0,61.0,0.0018218985
-151.0,60.0,5.675e-05
-151.0,59.0,5.8493e-05
-150.0,70.0,7.16015e-05
-150.0,69.0,0.0001359763
-150.0,68.0,7.86139e-05
-150.0,61.0,0.0066612265
-150.0,60.0,5.675e-05
-149.0,70.0,0.0001812903
-149.0,69.0,7.51189e-05
-149.0,60.0,5.675e-05
-148.0,69.0,7.51189e-05
-147.0,69.0,7.51189e-05
-146.0,69.0,7.51189e-05
-146.0,60.0,5.675e-05
-145.0,69.0,7.51189e-05
-145.0,64.0,0.0035631873
-145.0,60.0,5.675e-05
-144.0,69.0,7.51189e-05
-144.0,60.0,5.675e-05
-143.0,69.0,7.51189e-05
-143.0,62.0,5.32056e-05
-143.0,60.0,5.675e-05
-142.0,69.0,7.51189e-05
-142.0,60.0,5.675e-05
-141.0,69.0,0.0006456195
-141.0,68.0,0.0006756511
-141.0,60.0,5.675e-05
-140.0,69.0,0.0006456195
-140.0,68.0,0.0006756511
-140.0,67.0,0.0007054826
-140.0,63.0,2.08385e-05
-140.0,62.0,2.15636e-05
-140.0,61.0,2.22853e-05
-140.0,60.0,5.675e-05
-139.0,68.0,0.0006756511
-139.0,67.0,0.0007054826
-139.0,63.0,2.08385e-05
-139.0,61.0,2.22853e-05
-139.0,59.0,5.8493e-05
-138.0,68.0,0.0006756511
-138.0,67.0,0.0007054826
-138.0,63.0,2.08385e-05
-138.0,61.0,2.22853e-05
-138.0,60.0,2.29898e-05
-137.0,68.0,0.0006756511
-137.0,67.0,0.0007054826
-137.0,63.0,2.08385e-05
-137.0,62.0,2.15636e-05
-137.0,60.0,2.29898e-05
-137.0,58.0,6.02166e-05
-136.0,68.0,0.0021051507
-136.0,67.0,0.0007077067
-136.0,63.0,2.08385e-05
-136.0,61.0,2.22853e-05
-136.0,60.0,2.29898e-05
-136.0,58.0,0.0001140513
-136.0,57.0,6.19207e-05
-135.0,69.0,0.0006476436
-135.0,68.0,0.0006777811
-135.0,67.0,0.0007077067
-135.0,62.0,2.15636e-05
-135.0,60.0,2.29898e-05
-135.0,58.0,6.02166e-05
-135.0,57.0,6.19207e-05
-134.0,69.0,0.0006476436
-134.0,68.0,0.0006777811
-134.0,62.0,2.15636e-05
-134.0,60.0,2.29898e-05
-133.0,69.0,0.0006476436
-133.0,68.0,0.0006777811
-133.0,66.0,0.0007374205
-133.0,61.0,2.22853e-05
-133.0,56.0,6.36066e-05
-132.0,69.0,0.0006476436
-132.0,62.0,2.15636e-05
-132.0,61.0,2.22853e-05
-132.0,59.0,0.0001610923
-131.0,69.0,0.0006476436
-131.0,68.0,0.0006777811
-131.0,61.0,2.22853e-05
-131.0,58.0,0.0001658273
-131.0,55.0,0.0005610087
-130.0,69.0,0.0006476436
-130.0,68.0,0.0006777811
-130.0,61.0,2.22853e-05
-129.0,68.0,0.0006777811
-129.0,56.0,0.0001751714
-129.0,55.0,0.0001797577
-129.0,54.0,0.000510654
-128.0,59.0,0.0001610923
-128.0,55.0,0.0001797577
-128.0,54.0,0.0001843097
-128.0,50.0,0.0002018772
-127.0,65.0,3.52001e-05
-127.0,59.0,0.0001610923
-127.0,56.0,0.0001751714
-127.0,55.0,0.0001797577
